+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.6467   |
| epoch 2  |   6.1953   |
| epoch 3  |   5.0116   |
| epoch 4  |   4.4576   |
| epoch 5  |   4.3799   |
| epoch 6  |   3.5448   |
| epoch 7  |   3.0649   |
| epoch 8  |   2.9127   |
| epoch 9  |   2.8557   |
| epoch 10 |   3.0289   |
| epoch 11 |   2.5403   |
| epoch 12 |   2.7120   |
| epoch 13 |   2.2651   |
| epoch 14 |   2.2797   |
| epoch 15 |   2.3002   |
| epoch 16 |   2.1682   |
| epoch 17 |   1.9535   |
| epoch 18 |   2.0077   |
| epoch 19 |   1.8028   |
| epoch 20 |   2.0853   |
| epoch 21 |   1.8497   |
| epoch 22 |   1.4520   |
| epoch 23 |   1.5983   |
| epoch 24 |   1.7290   |
| epoch 25 |   1.7703   |
| epoch 26 |   1.4692   |
| epoch 27 |   1.5695   |
| epoch 28 |   1.7386   |
| epoch 29 |   1.4809   |
| epoch 30 |   1.3785   |
| epoch 31 |   1.4967   |
| epoch 32 |   1.5783   |
| epoch 33 |   1.3019   |
| epoch 34 |   1.3516   |
| epoch 35 |   1.5144   |
| epoch 36 |   1.3035   |
| epoch 37 |   1.0796   |
| epoch 38 |   1.2093   |
| epoch 39 |   1.3403   |
| epoch 40 |   1.1800   |
| epoch 41 |   1.2421   |
| epoch 42 |   1.3621   |
| epoch 43 |   1.4863   |
| epoch 44 |   1.0702   |
| epoch 45 |   1.1905   |
| epoch 46 |   1.2131   |
| epoch 47 |   1.0543   |
| epoch 48 |   1.0630   |
| epoch 49 |   0.8967   |
| epoch 50 |   1.0146   |
| epoch 51 |   0.9302   |
| epoch 52 |   1.0381   |
+----------+------------+
