训练开始时间: 2025-05-31 19:50:02
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.6467	4.0890	0.6293	0.4183
2	6.1953	2.2065	0.5487	0.3715
3	5.0116	1.4585	0.6349	0.4427
4	4.4576	1.5719	0.6842	0.4631
5	4.3799	2.7081	0.6246	0.4283
6	3.5448	1.3640	0.7330	0.5238
7	3.0649	1.5910	0.7529	0.5468
8	2.9127	2.1950	0.7037	0.5064
9	2.8557	1.1450	0.7715	0.5763
10	3.0289	1.3336	0.7864	0.6042
11	2.5403	0.8533	0.7852	0.6245
12	2.7120	1.3164	0.7971	0.6222
13	2.2651	0.6781	0.7866	0.6384
14	2.2797	0.9771	0.7973	0.6473
15	2.3002	0.7882	0.8300	0.7030
16	2.1682	0.8781	0.8155	0.6845
17	1.9535	1.0564	0.8226	0.6937
18	2.0077	0.7866	0.8286	0.7002
19	1.8028	0.6000	0.8430	0.7163
20	2.0853	0.7862	0.8331	0.6924
21	1.8497	0.7889	0.8299	0.6830
22	1.4520	1.0231	0.8351	0.7093
23	1.5983	0.7977	0.8377	0.7051
24	1.7290	0.9081	0.8359	0.7045
25	1.7703	1.3482	0.8516	0.7425
26	1.4692	0.9828	0.8417	0.7203
27	1.5695	0.7508	0.8533	0.7263
28	1.7386	0.9337	0.8454	0.6980
29	1.4809	0.9532	0.8563	0.7386
30	1.3785	0.9371	0.8672	0.7534
31	1.4967	0.8396	0.8713	0.7606
32	1.5783	1.3400	0.8461	0.7274
33	1.3019	1.0755	0.8651	0.7567
34	1.3516	1.1263	0.8496	0.7185
35	1.5144	1.4774	0.8554	0.7477
36	1.3035	1.3844	0.8612	0.7513
37	1.0796	0.8228	0.8897	0.7853
38	1.2093	0.8120	0.8850	0.7664
39	1.3403	1.5714	0.8651	0.7549
40	1.1800	2.0304	0.8410	0.7340
41	1.2421	1.2600	0.8626	0.7513
42	1.3621	1.1203	0.8620	0.7453
43	1.4863	1.3318	0.8659	0.7509
44	1.0702	1.5441	0.8613	0.7509
45	1.1905	1.5095	0.8694	0.7597
46	1.2131	1.3501	0.8679	0.7610
47	1.0543	1.2758	0.8764	0.7574
48	1.0630	1.2348	0.8794	0.7719
49	0.8967	1.4722	0.8767	0.7687
50	1.0146	1.1322	0.8836	0.7743
51	0.9302	1.1989	0.8804	0.7656
