epoch,train_loss,val_loss,val_auroc,val_auprc
1,9.626338,2.436207,0.576173,0.419800
2,6.212947,2.356213,0.581039,0.419200
3,5.018617,1.342010,0.596356,0.430600
4,4.028922,2.038152,0.638987,0.442600
5,3.999090,2.159399,0.654765,0.437200
6,3.953393,0.744718,0.692344,0.521500
7,3.681006,1.757889,0.749140,0.556400
8,3.665360,1.128023,0.781080,0.605200
9,3.147549,1.217224,0.778444,0.586400
10,3.322699,1.185435,0.803950,0.638700
11,2.899210,1.084159,0.794472,0.654200
12,2.577462,0.842718,0.803560,0.681800
13,3.142231,1.180108,0.809998,0.637300
14,3.125457,0.794425,0.808288,0.680300
15,2.855392,0.776433,0.833602,0.700900
16,2.891783,1.572828,0.832360,0.662600
17,2.875572,1.146428,0.835766,0.683700
18,2.693286,1.710842,0.825731,0.639000
19,2.926078,1.517553,0.838077,0.659400
20,2.439839,0.671623,0.833722,0.681600
21,2.846158,0.667994,0.841921,0.729500
22,2.404833,0.729892,0.846984,0.742000
23,2.081027,1.391424,0.832776,0.723900
24,1.967521,1.188843,0.843696,0.735500
25,1.689321,1.335277,0.837558,0.749100
26,2.040616,1.247035,0.835768,0.719000
27,1.900759,1.064309,0.853420,0.760800
28,1.810721,0.967868,0.859354,0.762600
29,1.880187,0.872556,0.862600,0.754400
30,1.913114,1.220387,0.855949,0.766300
31,1.510093,1.079025,0.865362,0.774800
32,1.598496,1.069811,0.870246,0.780300
33,1.308601,1.354024,0.857518,0.775400
34,1.500543,1.277125,0.865567,0.783200
35,1.439387,1.273531,0.859514,0.783100
36,1.535624,1.230324,0.862534,0.774800
37,1.741554,1.208671,0.848934,0.770900
38,1.444051,1.122202,0.870874,0.790100
39,1.339107,1.311576,0.866626,0.775200
40,1.262563,1.220102,0.878053,0.789400
41,1.132444,1.357742,0.876445,0.774300
42,1.416595,1.328193,0.867978,0.773100
43,1.214549,1.244634,0.879715,0.801700
44,1.193338,1.244130,0.877326,0.796900
45,1.273729,1.233608,0.871717,0.791100
46,1.220472,1.146443,0.886371,0.805800
47,1.173543,1.150313,0.883431,0.798800
48,1.045282,1.392521,0.872001,0.784600
49,1.028506,1.219483,0.882049,0.803300
50,1.022687,1.275701,0.871709,0.790500
51,1.104466,1.444437,0.876310,0.793600
52,1.080737,1.243989,0.883434,0.797300
53,0.924803,1.156259,0.888973,0.814300
54,1.006671,1.237615,0.890387,0.815100
55,1.048676,1.247687,0.885934,0.799200
56,1.068522,1.335411,0.890304,0.802800
57,1.016815,1.348236,0.887434,0.814100
58,1.017649,1.273989,0.891398,0.815600
59,1.019965,0.966384,0.883908,0.798600
60,0.878587,1.369108,0.885056,0.817400
61,0.842525,1.280564,0.886605,0.813300
62,0.867730,0.789533,0.891855,0.817800
63,0.829173,1.351168,0.885862,0.820500
64,0.973228,1.370661,0.881518,0.795500
65,0.881524,1.152543,0.888733,0.808400
66,0.703702,1.369294,0.889227,0.822800
67,0.815890,1.345366,0.889569,0.823600
68,0.934529,1.305138,0.888376,0.814000
69,0.872847,1.499947,0.887468,0.813000
70,0.990763,1.415384,0.887371,0.814500
71,0.854440,1.397237,0.890167,0.819900
72,0.872023,1.430877,0.888968,0.807700
73,0.913759,1.412651,0.887682,0.815900
74,0.936594,1.227754,0.889684,0.815900
75,0.764866,1.226461,0.891207,0.815900
76,0.815373,1.370597,0.887746,0.811600
77,0.753795,1.197611,0.892701,0.809800
78,0.733968,0.987209,0.892822,0.812000
79,0.722319,1.257527,0.886603,0.800300
80,0.751654,1.387301,0.884133,0.803800
81,0.661617,1.417747,0.885506,0.809200
82,0.771788,0.885959,0.892257,0.813400
83,0.798471,1.364241,0.877151,0.802500
84,0.770864,1.131212,0.881680,0.800600
85,0.694879,1.290175,0.877066,0.792300
86,0.729753,1.342342,0.880588,0.803000
87,0.769506,1.105817,0.887408,0.806800
88,0.758888,1.162142,0.885405,0.810400
89,0.747153,1.211109,0.884031,0.807800
90,0.685927,1.240039,0.883281,0.808800
91,0.683795,1.425427,0.881100,0.808700
92,0.704815,1.201876,0.884486,0.806200
93,0.629444,1.127688,0.887902,0.810300
