epoch,train_loss,val_loss,val_auroc,val_auprc
1,10.451120,1.313758,0.536149,0.333700
2,7.426686,1.833198,0.606850,0.414600
3,5.948600,1.913202,0.586208,0.403400
4,5.443328,1.642710,0.658364,0.448600
5,4.385343,1.676899,0.635716,0.448100
6,3.997396,0.964065,0.692856,0.495400
7,3.182501,1.880564,0.722325,0.534200
8,3.550577,1.745922,0.726512,0.531300
9,3.537445,1.775729,0.742195,0.562800
10,2.941882,1.352844,0.794517,0.621000
11,2.875861,1.818183,0.792708,0.609700
12,2.783098,1.323530,0.804143,0.629300
13,2.733177,1.712474,0.802391,0.628800
14,2.735763,1.567793,0.799567,0.637600
15,2.776775,1.510651,0.818830,0.659200
16,2.708988,1.892959,0.819675,0.653400
17,2.556120,1.859912,0.819220,0.651000
18,2.856850,0.966466,0.826880,0.656000
19,2.277243,1.013518,0.822374,0.684200
20,2.274886,1.103917,0.828793,0.660500
21,2.243286,1.377951,0.804910,0.627100
22,2.513598,1.346337,0.833446,0.680500
23,1.853726,1.138434,0.848469,0.692200
24,1.949886,1.112212,0.845669,0.694700
25,2.260386,1.117437,0.848345,0.704900
26,1.934144,1.196635,0.848598,0.702200
27,1.742947,1.324659,0.854232,0.700700
28,1.900626,1.056077,0.856003,0.718100
29,2.395710,1.429957,0.857463,0.703600
30,2.061687,0.972189,0.843366,0.740800
31,1.370461,1.202567,0.845144,0.730100
32,1.381344,1.180518,0.861118,0.751200
33,1.470881,0.940151,0.861587,0.752600
34,1.351380,1.454835,0.852687,0.722200
35,1.329594,1.378880,0.855263,0.744400
36,1.373047,1.036222,0.857384,0.753200
37,1.119007,0.973994,0.877344,0.783000
38,1.023902,0.797155,0.868177,0.750600
39,1.048308,0.730796,0.868504,0.760100
40,1.080801,0.757337,0.873586,0.777800
41,0.969590,1.207381,0.844988,0.750600
42,1.023159,0.768159,0.860720,0.768500
43,0.988915,0.637198,0.876386,0.778500
44,0.845119,0.789704,0.886471,0.803500
45,0.898312,0.979464,0.869125,0.790700
46,0.803789,0.781642,0.879252,0.799100
47,0.821085,0.711291,0.878407,0.792700
48,0.892264,0.755521,0.881874,0.789200
49,0.861229,0.760114,0.882006,0.795900
50,0.830726,0.946262,0.878136,0.794700
51,0.791329,0.723541,0.889537,0.802500
52,0.777518,0.778562,0.880497,0.803100
53,0.655213,0.886297,0.879891,0.801000
54,0.739490,0.800903,0.884387,0.799100
55,0.748846,0.775834,0.883509,0.804500
56,0.727906,0.814728,0.875423,0.794400
57,0.810536,0.872015,0.877645,0.799700
58,0.760945,0.907614,0.878483,0.798000
59,0.790881,0.959235,0.878572,0.802400
60,0.700658,0.887268,0.880426,0.805700
61,0.707393,0.947647,0.875632,0.795400
62,0.704987,0.774365,0.883837,0.806200
63,0.732767,0.859520,0.882321,0.805800
64,0.807968,0.890979,0.880497,0.804000
65,0.782629,0.924287,0.881897,0.806700
