epoch,train_loss,val_loss,val_auroc,val_auprc
1,10.316734,1.496244,0.561084,0.397200
2,6.337335,1.444240,0.546458,0.373500
3,4.791132,1.689759,0.595588,0.401300
4,4.783097,1.016767,0.653165,0.456200
5,4.666704,1.073115,0.663789,0.461400
6,4.110739,1.497273,0.703483,0.504500
7,3.831901,1.575241,0.757520,0.539500
8,3.483596,1.638523,0.745043,0.558100
9,3.822755,1.392299,0.768571,0.617500
10,3.179978,1.627161,0.811402,0.622400
11,3.546848,1.982573,0.793288,0.614200
12,3.116630,1.136701,0.827602,0.665000
13,3.807108,0.874774,0.832947,0.686900
14,3.135445,1.810985,0.836011,0.659900
15,3.255417,1.406916,0.839223,0.682200
16,3.038785,0.910368,0.836812,0.704500
17,2.795749,0.829674,0.853320,0.733600
18,2.879595,0.904326,0.870452,0.752800
19,2.848054,1.412823,0.855223,0.703900
20,2.410040,1.361624,0.866526,0.713500
21,2.738813,0.900428,0.875152,0.764800
22,2.635917,0.862263,0.859312,0.790200
23,2.715651,1.401281,0.865240,0.708300
24,3.299444,0.568738,0.857563,0.779400
25,2.775223,0.959036,0.872505,0.760500
26,2.672206,1.549982,0.859274,0.710600
27,2.616036,1.659783,0.870633,0.719500
28,2.800522,1.324391,0.882073,0.745600
29,2.537036,1.656003,0.883586,0.736000
30,2.773933,1.547618,0.889687,0.752000
31,2.773655,1.545429,0.888756,0.749600
32,2.734960,1.459544,0.888425,0.760500
33,2.475372,1.473292,0.884730,0.736500
34,2.640829,1.478383,0.889681,0.761800
35,2.500425,1.054279,0.882669,0.781100
36,2.302573,1.555703,0.882985,0.747600
37,2.171362,1.044813,0.893455,0.779700
38,2.313102,1.024725,0.897015,0.789500
39,2.577953,1.595857,0.889129,0.746500
40,2.446668,1.054279,0.897323,0.786900
41,2.622984,0.928384,0.893403,0.804900
42,2.328583,0.917451,0.900256,0.803400
43,1.906574,1.061232,0.892621,0.790700
44,2.148971,1.302541,0.894128,0.775300
45,2.201650,1.038171,0.897299,0.796300
46,2.053926,1.250897,0.893565,0.778600
47,2.262978,0.975825,0.900075,0.800600
48,1.936571,0.951343,0.905732,0.805700
49,2.094007,1.036461,0.904562,0.800800
50,2.131193,1.146640,0.897158,0.776100
51,2.494270,0.978203,0.901721,0.787500
52,2.278361,0.942038,0.906020,0.804300
53,2.423936,0.976731,0.906073,0.806300
54,1.990390,1.499337,0.896433,0.763500
55,2.109103,1.119138,0.901921,0.787900
56,2.083429,1.238802,0.899280,0.783500
57,2.117432,1.251828,0.903295,0.791800
58,2.095106,1.020585,0.903668,0.802200
59,2.320435,1.062226,0.902785,0.790400
60,2.092827,0.928150,0.903540,0.803500
61,1.982928,0.944943,0.902469,0.804000
62,1.899458,1.233864,0.898872,0.784100
63,1.991544,1.070108,0.901763,0.797000
64,1.969725,1.157708,0.901736,0.794300
65,2.049610,1.064016,0.900269,0.799300
66,2.050352,1.454639,0.897375,0.772200
67,2.181487,1.139429,0.902701,0.799400
68,2.335689,1.252330,0.899866,0.786000
