训练开始时间: 2025-06-01 23:26:43
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	10.3167	1.4962	0.5611	0.3972
2	6.3373	1.4442	0.5465	0.3735
3	4.7911	1.6898	0.5956	0.4013
4	4.7831	1.0168	0.6532	0.4562
5	4.6667	1.0731	0.6638	0.4614
6	4.1107	1.4973	0.7035	0.5045
7	3.8319	1.5752	0.7575	0.5395
8	3.4836	1.6385	0.7450	0.5581
9	3.8228	1.3923	0.7686	0.6175
10	3.1800	1.6272	0.8114	0.6224
11	3.5468	1.9826	0.7933	0.6142
12	3.1166	1.1367	0.8276	0.6650
13	3.8071	0.8748	0.8329	0.6869
14	3.1354	1.8110	0.8360	0.6599
15	3.2554	1.4069	0.8392	0.6822
16	3.0388	0.9104	0.8368	0.7045
17	2.7957	0.8297	0.8533	0.7336
18	2.8796	0.9043	0.8705	0.7528
19	2.8481	1.4128	0.8552	0.7039
20	2.4100	1.3616	0.8665	0.7135
21	2.7388	0.9004	0.8752	0.7648
22	2.6359	0.8623	0.8593	0.7902
23	2.7157	1.4013	0.8652	0.7083
24	3.2994	0.5687	0.8576	0.7794
25	2.7752	0.9590	0.8725	0.7605
26	2.6722	1.5500	0.8593	0.7106
27	2.6160	1.6598	0.8706	0.7195
28	2.8005	1.3244	0.8821	0.7456
29	2.5370	1.6560	0.8836	0.7360
30	2.7739	1.5476	0.8897	0.7520
31	2.7737	1.5454	0.8888	0.7496
32	2.7350	1.4595	0.8884	0.7605
33	2.4754	1.4733	0.8847	0.7365
34	2.6408	1.4784	0.8897	0.7618
35	2.5004	1.0543	0.8827	0.7811
36	2.3026	1.5557	0.8830	0.7476
37	2.1714	1.0448	0.8935	0.7797
38	2.3131	1.0247	0.8970	0.7895
39	2.5780	1.5959	0.8891	0.7465
40	2.4467	1.0543	0.8973	0.7869
41	2.6230	0.9284	0.8934	0.8049
42	2.3286	0.9175	0.9003	0.8034
43	1.9066	1.0612	0.8926	0.7907
44	2.1490	1.3025	0.8941	0.7753
45	2.2016	1.0382	0.8973	0.7963
46	2.0539	1.2509	0.8936	0.7786
47	2.2630	0.9758	0.9001	0.8006
48	1.9366	0.9513	0.9057	0.8057
49	2.0940	1.0365	0.9046	0.8008
50	2.1312	1.1466	0.8972	0.7761
51	2.4943	0.9782	0.9017	0.7875
52	2.2784	0.9420	0.9060	0.8043
53	2.4239	0.9767	0.9061	0.8063
54	1.9904	1.4993	0.8964	0.7635
55	2.1091	1.1191	0.9019	0.7879
56	2.0834	1.2388	0.8993	0.7835
57	2.1174	1.2518	0.9033	0.7918
58	2.0951	1.0206	0.9037	0.8022
59	2.3204	1.0622	0.9028	0.7904
60	2.0928	0.9281	0.9035	0.8035
61	1.9829	0.9449	0.9025	0.8040
62	1.8995	1.2339	0.8989	0.7841
63	1.9915	1.0701	0.9018	0.7970
64	1.9697	1.1577	0.9017	0.7943
65	2.0496	1.0640	0.9003	0.7993
66	2.0504	1.4546	0.8974	0.7722
67	2.1815	1.1394	0.9027	0.7994
