+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.7345   |
| epoch 2  |   6.2843   |
| epoch 3  |   4.8544   |
| epoch 4  |   3.9441   |
| epoch 5  |   3.6558   |
| epoch 6  |   3.3643   |
| epoch 7  |   3.2624   |
| epoch 8  |   3.2464   |
| epoch 9  |   2.9484   |
| epoch 10 |   2.7731   |
| epoch 11 |   3.1378   |
| epoch 12 |   2.8107   |
| epoch 13 |   3.0067   |
| epoch 14 |   2.5638   |
| epoch 15 |   2.7748   |
| epoch 16 |   2.9018   |
| epoch 17 |   3.1139   |
| epoch 18 |   2.9323   |
| epoch 19 |   2.4513   |
| epoch 20 |   2.4909   |
| epoch 21 |   2.7037   |
| epoch 22 |   2.4080   |
| epoch 23 |   2.3236   |
| epoch 24 |   2.6119   |
| epoch 25 |   2.4914   |
| epoch 26 |   2.2407   |
| epoch 27 |   2.3210   |
| epoch 28 |   2.3932   |
| epoch 29 |   2.3558   |
| epoch 30 |   2.8424   |
| epoch 31 |   2.3838   |
| epoch 32 |   2.2806   |
| epoch 33 |   2.5640   |
| epoch 34 |   2.7405   |
| epoch 35 |   2.4411   |
| epoch 36 |   2.4738   |
| epoch 37 |   2.2807   |
| epoch 38 |   2.1848   |
| epoch 39 |   2.0393   |
| epoch 40 |   2.3814   |
| epoch 41 |   2.2241   |
| epoch 42 |   2.0817   |
| epoch 43 |   1.8202   |
| epoch 44 |   2.0626   |
| epoch 45 |   2.1039   |
| epoch 46 |   2.1409   |
| epoch 47 |   2.0572   |
| epoch 48 |   2.3420   |
| epoch 49 |   2.3516   |
| epoch 50 |   2.3459   |
| epoch 51 |   2.4115   |
| epoch 52 |   2.4983   |
| epoch 53 |   2.3463   |
| epoch 54 |   2.3953   |
| epoch 55 |   2.1110   |
| epoch 56 |   1.9785   |
| epoch 57 |   2.1715   |
| epoch 58 |   2.0738   |
| epoch 59 |   2.0737   |
+----------+------------+
