+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   8.2975   |
| epoch 2  |   5.8528   |
| epoch 3  |   4.3602   |
| epoch 4  |   3.7959   |
| epoch 5  |   3.8544   |
| epoch 6  |   3.1566   |
| epoch 7  |   2.9635   |
| epoch 8  |   3.0066   |
| epoch 9  |   2.6634   |
| epoch 10 |   2.9615   |
| epoch 11 |   2.9312   |
| epoch 12 |   2.9363   |
| epoch 13 |   3.1624   |
| epoch 14 |   3.0870   |
| epoch 15 |   3.1218   |
| epoch 16 |   2.9755   |
| epoch 17 |   2.9115   |
| epoch 18 |   2.6736   |
| epoch 19 |   2.5767   |
| epoch 20 |   2.6530   |
| epoch 21 |   2.3619   |
| epoch 22 |   2.5633   |
| epoch 23 |   2.5922   |
| epoch 24 |   2.7283   |
| epoch 25 |   2.6403   |
| epoch 26 |   2.8262   |
| epoch 27 |   2.4674   |
| epoch 28 |   2.7404   |
| epoch 29 |   2.5832   |
| epoch 30 |   2.3661   |
| epoch 31 |   2.4558   |
| epoch 32 |   2.6658   |
| epoch 33 |   3.0273   |
| epoch 34 |   2.4819   |
| epoch 35 |   2.7374   |
| epoch 36 |   2.7336   |
| epoch 37 |   2.5619   |
| epoch 38 |   2.6319   |
| epoch 39 |   2.3393   |
| epoch 40 |   2.2505   |
| epoch 41 |   2.8692   |
| epoch 42 |   2.7054   |
| epoch 43 |   2.7919   |
| epoch 44 |   2.7485   |
| epoch 45 |   2.4276   |
| epoch 46 |   2.3787   |
| epoch 47 |   2.1554   |
| epoch 48 |   2.0108   |
| epoch 49 |   2.4071   |
| epoch 50 |   2.7399   |
| epoch 51 |   2.2853   |
| epoch 52 |   2.2412   |
| epoch 53 |   2.2858   |
| epoch 54 |   2.3462   |
| epoch 55 |   2.1517   |
| epoch 56 |   2.0265   |
| epoch 57 |   2.2155   |
| epoch 58 |   2.0796   |
| epoch 59 |   2.3847   |
| epoch 60 |   2.1290   |
| epoch 61 |   2.1539   |
+----------+------------+
