epoch,train_loss,val_loss,val_auroc,val_auprc
1,8.297476,1.431612,0.533766,0.365700
2,5.852774,2.848607,0.574338,0.379500
3,4.360240,1.041263,0.696916,0.501900
4,3.795920,1.662195,0.684436,0.543400
5,3.854393,1.034788,0.759850,0.566500
6,3.156634,1.304252,0.783560,0.665900
7,2.963477,1.506389,0.805347,0.633600
8,3.006564,1.730879,0.813786,0.634300
9,2.663411,1.623050,0.829212,0.654100
10,2.961485,1.032723,0.850376,0.704000
11,2.931168,1.115395,0.850764,0.706200
12,2.936347,1.136185,0.854646,0.700700
13,3.162415,0.940129,0.857364,0.730700
14,3.086963,1.658131,0.864564,0.703800
15,3.121752,1.204633,0.873931,0.738200
16,2.975463,1.115431,0.873879,0.733400
17,2.911473,0.905398,0.874140,0.762100
18,2.673601,1.160695,0.886115,0.758900
19,2.576671,0.925472,0.883148,0.764400
20,2.653030,0.870311,0.887864,0.782600
21,2.361873,0.876955,0.889993,0.788500
22,2.563319,0.939305,0.874068,0.767700
23,2.592163,1.176814,0.891991,0.764700
24,2.728319,1.450922,0.866937,0.808500
25,2.640332,0.977653,0.897051,0.797500
26,2.826203,1.334684,0.890305,0.766700
27,2.467412,1.310394,0.892079,0.765900
28,2.740438,1.306951,0.900362,0.776000
29,2.583244,1.329445,0.894482,0.777100
30,2.366066,1.397917,0.891847,0.775500
31,2.455805,1.374877,0.895972,0.778600
32,2.665798,1.153113,0.897143,0.781300
33,3.027308,1.130127,0.890227,0.786700
34,2.481859,1.099336,0.902016,0.804100
35,2.737420,1.263132,0.902153,0.788300
36,2.733649,1.339979,0.874321,0.816900
37,2.561883,0.977848,0.904121,0.813900
38,2.631859,1.077377,0.905788,0.797400
39,2.339326,1.380949,0.901009,0.788700
40,2.250472,1.159399,0.908252,0.803000
41,2.869238,0.884865,0.905599,0.814200
42,2.705375,0.947183,0.908960,0.826400
43,2.791859,1.196793,0.902593,0.802600
44,2.748474,0.893398,0.903354,0.816400
45,2.427645,0.962056,0.903869,0.817000
46,2.378687,1.148765,0.912901,0.819500
47,2.155428,0.965056,0.901154,0.814800
48,2.010769,1.075120,0.907078,0.813200
49,2.407059,1.114761,0.905135,0.811600
50,2.739862,1.236480,0.901890,0.803400
51,2.285341,1.026640,0.906600,0.818800
52,2.241178,1.226861,0.894562,0.796300
53,2.285836,1.185730,0.901942,0.803900
54,2.346214,1.369757,0.901544,0.788200
55,2.151681,1.117526,0.905820,0.816300
56,2.026496,1.130815,0.911013,0.816900
57,2.215492,1.139502,0.912193,0.813800
58,2.079563,1.176594,0.908334,0.818800
59,2.384717,1.132679,0.907666,0.817300
60,2.129036,1.145807,0.911670,0.815700
61,2.153912,1.046432,0.911477,0.817800
