训练开始时间: 2025-06-03 13:37:09
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	8.2975	1.4316	0.5338	0.3657
2	5.8528	2.8486	0.5743	0.3795
3	4.3602	1.0413	0.6969	0.5019
4	3.7959	1.6622	0.6844	0.5434
5	3.8544	1.0348	0.7599	0.5665
6	3.1566	1.3043	0.7836	0.6659
7	2.9635	1.5064	0.8053	0.6336
8	3.0066	1.7309	0.8138	0.6343
9	2.6634	1.6230	0.8292	0.6541
10	2.9615	1.0327	0.8504	0.7040
11	2.9312	1.1154	0.8508	0.7062
12	2.9363	1.1362	0.8546	0.7007
13	3.1624	0.9401	0.8574	0.7307
14	3.0870	1.6581	0.8646	0.7038
15	3.1218	1.2046	0.8739	0.7382
16	2.9755	1.1154	0.8739	0.7334
17	2.9115	0.9054	0.8741	0.7621
18	2.6736	1.1607	0.8861	0.7589
19	2.5767	0.9255	0.8831	0.7644
20	2.6530	0.8703	0.8879	0.7826
21	2.3619	0.8770	0.8900	0.7885
22	2.5633	0.9393	0.8741	0.7677
23	2.5922	1.1768	0.8920	0.7647
24	2.7283	1.4509	0.8669	0.8085
25	2.6403	0.9777	0.8971	0.7975
26	2.8262	1.3347	0.8903	0.7667
27	2.4674	1.3104	0.8921	0.7659
28	2.7404	1.3070	0.9004	0.7760
29	2.5832	1.3294	0.8945	0.7771
30	2.3661	1.3979	0.8918	0.7755
31	2.4558	1.3749	0.8960	0.7786
32	2.6658	1.1531	0.8971	0.7813
33	3.0273	1.1301	0.8902	0.7867
34	2.4819	1.0993	0.9020	0.8041
35	2.7374	1.2631	0.9022	0.7883
36	2.7336	1.3400	0.8743	0.8169
37	2.5619	0.9778	0.9041	0.8139
38	2.6319	1.0774	0.9058	0.7974
39	2.3393	1.3809	0.9010	0.7887
40	2.2505	1.1594	0.9083	0.8030
41	2.8692	0.8849	0.9056	0.8142
42	2.7054	0.9472	0.9090	0.8264
43	2.7919	1.1968	0.9026	0.8026
44	2.7485	0.8934	0.9034	0.8164
45	2.4276	0.9621	0.9039	0.8170
46	2.3787	1.1488	0.9129	0.8195
47	2.1554	0.9651	0.9012	0.8148
48	2.0108	1.0751	0.9071	0.8132
49	2.4071	1.1148	0.9051	0.8116
50	2.7399	1.2365	0.9019	0.8034
51	2.2853	1.0266	0.9066	0.8188
52	2.2412	1.2269	0.8946	0.7963
53	2.2858	1.1857	0.9019	0.8039
54	2.3462	1.3698	0.9015	0.7882
55	2.1517	1.1175	0.9058	0.8163
56	2.0265	1.1308	0.9110	0.8169
57	2.2155	1.1395	0.9122	0.8138
58	2.0796	1.1766	0.9083	0.8188
59	2.3847	1.1327	0.9077	0.8173
60	2.1290	1.1458	0.9117	0.8157
