epoch	train_loss	val_loss	auroc	auprc
1	2.2040	1.1874	0.6326	0.4384
2	1.6095	1.8286	0.6138	0.4074
3	1.1961	1.4915	0.7305	0.5267
4	1.1449	0.6669	0.7447	0.5821
5	0.9676	0.9225	0.7303	0.5662
6	0.8973	0.6388	0.7599	0.6016
7	0.7864	0.6453	0.7884	0.6040
8	0.7569	0.6811	0.8009	0.6835
9	0.6874	0.6185	0.8063	0.6803
10	0.6159	0.6283	0.8345	0.7338
11	0.6057	0.8533	0.8372	0.7310
12	0.5566	0.9522	0.8216	0.7140
13	0.5575	0.7314	0.8505	0.7683
14	0.4841	0.7754	0.8513	0.7574
15	0.4392	0.9160	0.8562	0.7771
16	0.4820	0.7502	0.8612	0.7689
17	0.4765	0.8538	0.8618	0.7879
18	0.4341	0.9585	0.8572	0.7817
19	0.4187	0.8471	0.8633	0.7743
20	0.4051	0.8387	0.8733	0.8162
21	0.3844	1.0487	0.8754	0.8116
22	0.3716	0.9332	0.8608	0.7719
23	0.3497	1.0163	0.8855	0.8177
24	0.3773	0.9204	0.8841	0.8065
25	0.3510	0.9325	0.8744	0.8099
26	0.3354	1.0220	0.8676	0.7924
27	0.3701	1.1690	0.8688	0.7960
28	0.3258	1.2161	0.8668	0.8012
29	0.2803	1.0680	0.8841	0.8186
30	0.2537	1.2083	0.8862	0.8269
31	0.2487	1.3132	0.8860	0.8219
32	0.2473	1.3112	0.8801	0.8213
33	0.2473	1.2533	0.8740	0.8121
34	0.2335	1.3821	0.8843	0.8259
35	0.2000	1.5361	0.8839	0.8202
36	0.1954	1.4411	0.8835	0.8243
37	0.2005	1.5132	0.8779	0.8173
38	0.2014	1.5367	0.8887	0.8366
39	0.1854	1.3909	0.8868	0.8305
40	0.1875	1.6557	0.8781	0.8134
41	0.1856	1.5370	0.8745	0.8066
42	0.1753	1.2583	0.8819	0.8153
43	0.1785	1.3862	0.8842	0.8236
44	0.1661	1.5609	0.8808	0.8245
45	0.1570	1.6582	0.8831	0.8302
46	0.1521	1.6820	0.8817	0.8266
47	0.1491	1.7870	0.8766	0.8066
48	0.1461	1.7583	0.8721	0.8106
49	0.1363	1.9395	0.8826	0.8177
50	0.1375	1.8634	0.8834	0.8183
51	0.1332	1.8985	0.8816	0.8141
52	0.1402	1.8039	0.8805	0.8157
