epoch	train_loss	val_loss	auroc	auprc
1	2.2380	1.1704	0.6390	0.4456
2	1.5890	1.0140	0.6988	0.5045
3	1.3659	0.8227	0.7005	0.4981
4	1.1970	0.8591	0.7608	0.5673
5	1.1928	0.8928	0.7732	0.5692
6	1.1857	0.8294	0.7743	0.5650
7	1.0826	0.8697	0.7654	0.6020
8	0.8596	0.7273	0.7613	0.5949
9	0.7845	0.8067	0.7833	0.6180
10	0.7057	0.6651	0.7915	0.6337
11	0.6540	0.7576	0.7928	0.6303
12	0.5847	0.9993	0.8000	0.6585
13	0.5435	0.7988	0.8197	0.6966
14	0.5365	0.6134	0.8191	0.6676
15	0.5113	0.9227	0.8349	0.7147
16	0.4844	0.8941	0.8488	0.7412
17	0.4682	0.8049	0.8382	0.7188
18	0.4464	0.8549	0.8513	0.7299
19	0.4318	0.9054	0.8587	0.7560
20	0.4224	0.9134	0.8623	0.7637
21	0.4227	1.2459	0.8552	0.7526
22	0.4128	0.9139	0.8595	0.7528
23	0.4068	0.9942	0.8660	0.7732
24	0.3778	0.8415	0.8705	0.7785
25	0.3839	0.9624	0.8712	0.7795
26	0.3688	1.2431	0.8529	0.7625
27	0.3617	0.7369	0.8840	0.7873
28	0.3619	1.0508	0.8624	0.7619
29	0.3531	0.8906	0.8786	0.7776
30	0.3455	0.7741	0.8679	0.7605
31	0.3576	0.9014	0.8716	0.7882
32	0.3388	1.0238	0.8771	0.7953
33	0.3001	0.9970	0.8835	0.7924
34	0.2885	1.0258	0.8829	0.8064
35	0.2783	1.0968	0.8845	0.8099
36	0.2744	1.0064	0.8925	0.8095
37	0.2779	0.9570	0.8943	0.8212
38	0.2737	0.8278	0.8880	0.7980
39	0.2697	0.8927	0.8880	0.8088
40	0.2722	1.0158	0.8881	0.8055
41	0.2811	0.9308	0.8863	0.8090
42	0.2782	0.8923	0.8879	0.8010
43	0.2462	0.9811	0.8909	0.8071
44	0.2382	0.9948	0.8853	0.8187
45	0.2260	0.9998	0.8874	0.8270
46	0.2265	0.9312	0.9006	0.8411
47	0.2196	0.9680	0.8946	0.8252
48	0.2211	0.9164	0.8901	0.8113
49	0.2218	0.9352	0.9010	0.8325
50	0.2129	1.1679	0.8862	0.8171
51	0.2245	0.8772	0.9060	0.8345
52	0.2295	0.8960	0.9049	0.8336
53	0.2244	1.1216	0.8925	0.8195
54	0.2348	1.0345	0.8937	0.8093
55	0.2342	0.9108	0.8925	0.8190
56	0.2434	0.9587	0.8878	0.7921
57	0.2115	0.8657	0.8975	0.8210
58	0.2002	0.8841	0.9019	0.8315
59	0.2008	1.0493	0.8981	0.8259
60	0.1943	0.9300	0.8986	0.8274
61	0.2002	0.8924	0.8981	0.8380
62	0.1768	1.0150	0.8968	0.8328
63	0.1730	0.9210	0.9033	0.8409
64	0.1737	0.9367	0.9034	0.8420
65	0.1699	1.0277	0.9001	0.8364
