+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.0796   |
| epoch 2  |   5.8326   |
| epoch 3  |   4.9118   |
| epoch 4  |   4.5264   |
| epoch 5  |   4.1329   |
| epoch 6  |   3.5975   |
| epoch 7  |   3.6678   |
| epoch 8  |   3.8245   |
| epoch 9  |   3.2541   |
| epoch 10 |   3.4960   |
| epoch 11 |   3.2974   |
| epoch 12 |   3.4672   |
| epoch 13 |   3.1295   |
| epoch 14 |   2.6991   |
| epoch 15 |   3.0574   |
| epoch 16 |   3.3156   |
| epoch 17 |   2.9194   |
| epoch 18 |   2.5848   |
| epoch 19 |   2.7081   |
| epoch 20 |   2.3326   |
| epoch 21 |   2.7325   |
| epoch 22 |   2.7594   |
| epoch 23 |   2.9769   |
| epoch 24 |   2.9353   |
| epoch 25 |   3.0528   |
| epoch 26 |   2.8272   |
| epoch 27 |   2.6625   |
| epoch 28 |   2.5012   |
| epoch 29 |   2.3243   |
| epoch 30 |   1.8108   |
| epoch 31 |   1.9010   |
| epoch 32 |   1.7584   |
| epoch 33 |   1.5518   |
| epoch 34 |   1.4258   |
| epoch 35 |   1.4052   |
| epoch 36 |   1.2378   |
| epoch 37 |   1.2373   |
| epoch 38 |   1.2462   |
| epoch 39 |   1.2787   |
| epoch 40 |   1.2062   |
| epoch 41 |   1.2764   |
| epoch 42 |   1.1452   |
| epoch 43 |   1.2109   |
| epoch 44 |   1.1544   |
| epoch 45 |   1.1737   |
| epoch 46 |   1.1485   |
| epoch 47 |   1.0834   |
| epoch 48 |   1.0804   |
| epoch 49 |   1.1592   |
| epoch 50 |   1.0076   |
| epoch 51 |   0.9273   |
| epoch 52 |   0.9584   |
| epoch 53 |   1.0453   |
| epoch 54 |   1.0609   |
| epoch 55 |   1.0030   |
| epoch 56 |   1.0219   |
| epoch 57 |   1.1564   |
| epoch 58 |   0.9910   |
| epoch 59 |   0.8807   |
| epoch 60 |   0.8221   |
| epoch 61 |   0.9543   |
| epoch 62 |   0.9924   |
| epoch 63 |   0.9520   |
| epoch 64 |   0.8696   |
| epoch 65 |   0.8967   |
| epoch 66 |   0.9882   |
| epoch 67 |   0.8699   |
| epoch 68 |   0.8909   |
| epoch 69 |   0.8392   |
| epoch 70 |   0.9567   |
| epoch 71 |   0.9357   |
| epoch 72 |   0.7836   |
| epoch 73 |   0.7597   |
| epoch 74 |   0.9160   |
| epoch 75 |   0.8190   |
| epoch 76 |   0.8484   |
| epoch 77 |   0.8133   |
| epoch 78 |   1.0032   |
| epoch 79 |   0.8373   |
| epoch 80 |   0.8347   |
| epoch 81 |   0.7862   |
| epoch 82 |   0.9152   |
| epoch 83 |   0.9192   |
| epoch 84 |   0.8092   |
| epoch 85 |   0.8658   |
| epoch 86 |   0.8056   |
| epoch 87 |   0.7925   |
+----------+------------+
