训练开始时间: 2025-05-29 12:44:18
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.0796	1.0125	0.5253	0.3683
2	5.8326	1.3590	0.5441	0.3952
3	4.9118	1.1882	0.6350	0.4607
4	4.5264	1.1374	0.6558	0.4830
5	4.1329	2.2926	0.6423	0.4557
6	3.5975	1.4293	0.7874	0.5945
7	3.6678	0.9696	0.7970	0.6299
8	3.8245	1.1752	0.7586	0.6142
9	3.2541	1.3502	0.7778	0.6352
10	3.4960	0.9013	0.7778	0.6134
11	3.2974	2.3347	0.8046	0.6076
12	3.4672	1.9039	0.8026	0.5996
13	3.1295	1.2720	0.8225	0.6573
14	2.6991	1.6327	0.8037	0.6408
15	3.0574	1.4380	0.8284	0.6564
16	3.3156	1.1434	0.8483	0.6807
17	2.9194	0.6969	0.8107	0.7046
18	2.5848	0.9638	0.8328	0.7351
19	2.7081	1.3202	0.8152	0.6570
20	2.3326	1.0729	0.8478	0.6895
21	2.7325	1.4671	0.8401	0.6858
22	2.7594	0.5918	0.8582	0.7544
23	2.9769	1.7089	0.8564	0.6823
24	2.9353	1.9003	0.8558	0.6870
25	3.0528	1.7932	0.8633	0.6897
26	2.8272	1.7479	0.8602	0.7002
27	2.6625	1.9922	0.8455	0.6686
28	2.5012	1.7253	0.8631	0.6912
29	2.3243	0.8707	0.8559	0.7533
30	1.8108	0.9088	0.8527	0.7672
31	1.9010	1.0670	0.8303	0.7405
32	1.7584	1.1362	0.8564	0.7852
33	1.5518	1.4317	0.8568	0.7856
34	1.4258	1.0315	0.8753	0.7915
35	1.4052	1.1042	0.8744	0.7944
36	1.2378	0.9242	0.8692	0.7742
37	1.2373	1.0096	0.8745	0.7883
38	1.2462	1.3068	0.8745	0.8000
39	1.2787	0.9995	0.8838	0.8082
40	1.2062	0.8578	0.8904	0.8053
41	1.2764	1.4137	0.8759	0.8194
42	1.1452	1.4233	0.8823	0.8168
43	1.2109	1.2921	0.8657	0.7906
44	1.1544	1.0188	0.8847	0.7958
45	1.1737	1.4683	0.8751	0.7991
46	1.1485	1.4281	0.8817	0.8094
47	1.0834	1.0220	0.8880	0.8188
48	1.0804	1.2162	0.8937	0.8191
49	1.1592	1.0891	0.8921	0.8176
50	1.0076	1.6665	0.8835	0.8197
51	0.9273	1.0862	0.8959	0.8331
52	0.9584	1.1699	0.8996	0.8350
53	1.0453	1.0782	0.8987	0.8329
54	1.0609	1.3224	0.8956	0.8387
55	1.0030	0.9774	0.8982	0.8279
56	1.0219	1.0923	0.9017	0.8372
57	1.1564	1.0174	0.9020	0.8326
58	0.9910	0.9874	0.8970	0.8337
59	0.8807	1.0454	0.8990	0.8459
60	0.8221	1.4070	0.8901	0.8202
61	0.9543	1.0886	0.8956	0.8331
62	0.9924	1.1413	0.8946	0.8315
63	0.9520	1.3777	0.8970	0.8389
64	0.8696	1.1703	0.8964	0.8412
65	0.8967	1.1641	0.8993	0.8365
66	0.9882	0.9674	0.9021	0.8500
67	0.8699	0.9532	0.9064	0.8546
68	0.8909	0.9925	0.9030	0.8485
69	0.8392	1.0789	0.9060	0.8572
70	0.9567	1.1330	0.9000	0.8534
71	0.9357	0.9966	0.9041	0.8529
72	0.7836	0.9222	0.9065	0.8510
73	0.7597	1.1671	0.9037	0.8475
74	0.9160	1.0712	0.9030	0.8502
75	0.8190	1.0043	0.9044	0.8471
76	0.8484	1.2857	0.9041	0.8431
77	0.8133	1.2407	0.9039	0.8421
78	1.0032	1.1789	0.9023	0.8417
79	0.8373	0.9975	0.9035	0.8374
80	0.8347	1.1830	0.9023	0.8458
81	0.7862	1.0817	0.8994	0.8402
82	0.9152	1.2533	0.9015	0.8404
83	0.9192	1.1660	0.9027	0.8448
84	0.8092	1.0845	0.9031	0.8473
85	0.8658	1.1872	0.9021	0.8492
86	0.8056	0.9648	0.9055	0.8511
