epoch,train_loss,val_loss,val_auroc,val_auprc
1,9.079585,1.012489,0.525296,0.368300
2,5.832640,1.359026,0.544123,0.395200
3,4.911842,1.188176,0.635023,0.460700
4,4.526375,1.137412,0.655818,0.483000
5,4.132922,2.292593,0.642281,0.455700
6,3.597469,1.429278,0.787440,0.594500
7,3.667844,0.969638,0.797001,0.629900
8,3.824452,1.175219,0.758609,0.614200
9,3.254088,1.350167,0.777756,0.635200
10,3.495996,0.901333,0.777800,0.613400
11,3.297355,2.334659,0.804584,0.607600
12,3.467199,1.903922,0.802586,0.599600
13,3.129492,1.272012,0.822460,0.657300
14,2.699146,1.632749,0.803743,0.640800
15,3.057437,1.438020,0.828359,0.656400
16,3.315598,1.143401,0.848298,0.680700
17,2.919353,0.696881,0.810700,0.704600
18,2.584809,0.963843,0.832759,0.735100
19,2.708137,1.320232,0.815155,0.657000
20,2.332614,1.072855,0.847775,0.689500
21,2.732533,1.467130,0.840089,0.685800
22,2.759430,0.591768,0.858216,0.754400
23,2.976896,1.708945,0.856446,0.682300
24,2.935284,1.900300,0.855830,0.687000
25,3.052799,1.793221,0.863268,0.689700
26,2.827199,1.747856,0.860182,0.700200
27,2.662496,1.992248,0.845461,0.668600
28,2.501228,1.725255,0.863055,0.691200
29,2.324265,0.870692,0.855904,0.753300
30,1.810763,0.908766,0.852715,0.767200
31,1.900993,1.067028,0.830313,0.740500
32,1.758426,1.136226,0.856372,0.785200
33,1.551806,1.431748,0.856755,0.785600
34,1.425801,1.031476,0.875329,0.791500
35,1.405232,1.104188,0.874374,0.794400
36,1.237841,0.924217,0.869154,0.774200
37,1.237322,1.009604,0.874496,0.788300
38,1.246203,1.306830,0.874460,0.800000
39,1.278677,0.999469,0.883776,0.808200
40,1.206227,0.857761,0.890402,0.805300
41,1.276402,1.413659,0.875866,0.819400
42,1.145204,1.423309,0.882317,0.816800
43,1.210913,1.292107,0.865731,0.790600
44,1.154384,1.018818,0.884724,0.795800
45,1.173689,1.468271,0.875089,0.799100
46,1.148544,1.428139,0.881738,0.809400
47,1.083351,1.021971,0.887978,0.818800
48,1.080424,1.216193,0.893672,0.819100
49,1.159211,1.089129,0.892138,0.817600
50,1.007560,1.666520,0.883455,0.819700
51,0.927272,1.086216,0.895946,0.833100
52,0.958426,1.169866,0.899580,0.835000
53,1.045281,1.078160,0.898695,0.832900
54,1.060865,1.322440,0.895639,0.838700
55,1.002974,0.977448,0.898185,0.827900
56,1.021913,1.092273,0.901698,0.837200
57,1.156379,1.017438,0.902031,0.832600
58,0.991024,0.987448,0.896966,0.833700
59,0.880671,1.045382,0.898971,0.845900
60,0.822094,1.406977,0.890119,0.820200
61,0.954334,1.088568,0.895573,0.833100
62,0.992401,1.141277,0.894606,0.831500
63,0.951997,1.377656,0.897042,0.838900
64,0.869641,1.170304,0.896387,0.841200
65,0.896749,1.164112,0.899310,0.836500
66,0.988167,0.967436,0.902065,0.850000
67,0.869885,0.953195,0.906429,0.854600
68,0.890915,0.992479,0.903034,0.848500
69,0.839245,1.078890,0.906014,0.857200
70,0.956679,1.133012,0.899965,0.853400
71,0.935685,0.996563,0.904071,0.852900
72,0.783602,0.922167,0.906490,0.851000
73,0.759734,1.167126,0.903675,0.847500
74,0.916017,1.071188,0.903034,0.850200
75,0.818997,1.004342,0.904355,0.847100
76,0.848397,1.285677,0.904067,0.843100
77,0.813289,1.240748,0.903860,0.842100
78,1.003230,1.178869,0.902282,0.841700
79,0.837281,0.997518,0.903502,0.837400
80,0.834716,1.182966,0.902265,0.845800
81,0.786227,1.081709,0.899371,0.840200
82,0.915153,1.253285,0.901538,0.840400
83,0.919241,1.166027,0.902674,0.844800
84,0.809220,1.084516,0.903095,0.847300
85,0.865831,1.187166,0.902107,0.849200
86,0.805573,0.964844,0.905538,0.851100
