+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   6.2695   |
| epoch 2  |   5.1792   |
| epoch 3  |   4.3721   |
| epoch 4  |   4.1248   |
| epoch 5  |   3.5170   |
| epoch 6  |   3.3589   |
| epoch 7  |   3.0118   |
| epoch 8  |   3.0759   |
| epoch 9  |   2.9161   |
| epoch 10 |   2.7975   |
| epoch 11 |   2.6536   |
| epoch 12 |   2.5156   |
| epoch 13 |   2.4044   |
| epoch 14 |   2.3278   |
| epoch 15 |   2.1507   |
| epoch 16 |   2.1174   |
| epoch 17 |   1.7212   |
| epoch 18 |   1.9621   |
| epoch 19 |   1.6444   |
| epoch 20 |   1.6849   |
| epoch 21 |   1.4786   |
| epoch 22 |   1.2848   |
| epoch 23 |   1.4078   |
| epoch 24 |   1.1989   |
| epoch 25 |   1.1591   |
| epoch 26 |   1.0033   |
| epoch 27 |   1.0362   |
| epoch 28 |   0.9693   |
| epoch 29 |   0.9801   |
| epoch 30 |   0.9924   |
| epoch 31 |   1.0645   |
| epoch 32 |   0.9639   |
| epoch 33 |   0.9077   |
| epoch 34 |   0.8343   |
| epoch 35 |   0.9033   |
| epoch 36 |   0.7231   |
| epoch 37 |   0.8610   |
| epoch 38 |   0.7725   |
| epoch 39 |   0.6732   |
| epoch 40 |   0.7723   |
| epoch 41 |   0.6716   |
| epoch 42 |   0.6569   |
| epoch 43 |   0.6572   |
| epoch 44 |   0.7356   |
| epoch 45 |   0.5813   |
| epoch 46 |   0.5820   |
| epoch 47 |   0.5923   |
| epoch 48 |   0.5799   |
| epoch 49 |   0.6326   |
| epoch 50 |   0.5486   |
| epoch 51 |   0.5273   |
| epoch 52 |   0.5182   |
| epoch 53 |   0.5325   |
| epoch 54 |   0.4776   |
| epoch 55 |   0.5117   |
| epoch 56 |   0.4677   |
| epoch 57 |   0.4752   |
| epoch 58 |   0.4572   |
| epoch 59 |   0.4430   |
| epoch 60 |   0.4621   |
| epoch 61 |   0.4484   |
| epoch 62 |   0.4190   |
| epoch 63 |   0.4227   |
| epoch 64 |   0.4589   |
| epoch 65 |   0.4235   |
| epoch 66 |   0.3688   |
| epoch 67 |   0.3690   |
| epoch 68 |   0.3887   |
| epoch 69 |   0.4179   |
| epoch 70 |   0.3696   |
| epoch 71 |   0.3786   |
| epoch 72 |   0.3805   |
| epoch 73 |   0.3344   |
| epoch 74 |   0.3307   |
| epoch 75 |   0.4002   |
| epoch 76 |   0.3319   |
| epoch 77 |   0.3493   |
| epoch 78 |   0.3793   |
| epoch 79 |   0.3241   |
| epoch 80 |   0.3602   |
| epoch 81 |   0.2977   |
| epoch 82 |   0.3060   |
| epoch 83 |   0.3390   |
| epoch 84 |   0.3140   |
+----------+------------+
