epoch,train_loss,val_loss,val_auroc,val_auprc
1,6.269455,1.392362,0.530175,0.375000
2,5.179231,1.569385,0.552435,0.388300
3,4.372117,1.235739,0.586079,0.414800
4,4.124751,1.442104,0.590593,0.405000
5,3.517007,1.268464,0.602897,0.406600
6,3.358896,0.775151,0.652279,0.444400
7,3.011828,1.072398,0.675099,0.458400
8,3.075949,1.278441,0.677443,0.472200
9,2.916080,1.368511,0.715816,0.551300
10,2.797468,1.321687,0.757979,0.572500
11,2.653611,1.295280,0.757494,0.559800
12,2.515641,1.652756,0.755598,0.554700
13,2.404434,2.411261,0.748963,0.575200
14,2.327791,1.447904,0.783035,0.603300
15,2.150680,1.396148,0.798915,0.635500
16,2.117361,1.373254,0.803216,0.620500
17,1.721222,1.425400,0.801221,0.664000
18,1.962143,2.240770,0.787549,0.645800
19,1.644374,1.302091,0.825389,0.667700
20,1.684872,1.849508,0.822317,0.659900
21,1.478605,1.078600,0.847801,0.704400
22,1.284812,1.279874,0.847219,0.714400
23,1.407789,1.025614,0.865426,0.762700
24,1.198911,1.014703,0.865424,0.768000
25,1.159148,1.045094,0.865934,0.764400
26,1.003287,1.147725,0.859485,0.760000
27,1.036170,1.048460,0.860123,0.746400
28,0.969330,1.024938,0.884010,0.784100
29,0.980134,0.974719,0.886646,0.788900
30,0.992427,1.003867,0.887533,0.792000
31,1.064540,0.927848,0.878296,0.774200
32,0.963922,1.054849,0.880410,0.774700
33,0.907694,1.171963,0.884425,0.784000
34,0.834346,1.240943,0.882031,0.794700
35,0.903322,1.137197,0.889706,0.804900
36,0.723069,1.170195,0.881626,0.786500
37,0.860972,0.942327,0.899567,0.815800
38,0.772495,1.073752,0.895708,0.812400
39,0.673181,1.249480,0.888553,0.805600
40,0.772294,1.255802,0.889495,0.796500
41,0.671636,1.070706,0.895932,0.796300
42,0.656924,1.080257,0.902943,0.820400
43,0.657216,1.107072,0.896102,0.799500
44,0.735648,1.145599,0.893984,0.802500
45,0.581260,1.133986,0.905953,0.829000
46,0.581961,1.161485,0.905803,0.832900
47,0.592330,1.573957,0.886850,0.775900
48,0.579872,1.349398,0.897232,0.794700
49,0.632605,1.248305,0.901251,0.809000
50,0.548551,1.519452,0.898341,0.784800
51,0.527298,1.391360,0.906134,0.823200
52,0.518154,1.444531,0.902842,0.802400
53,0.532487,1.716078,0.904893,0.794500
54,0.477551,1.460184,0.902322,0.806200
55,0.511685,1.535287,0.905871,0.802200
56,0.467720,1.641487,0.906014,0.813800
57,0.475178,1.724200,0.907226,0.813600
58,0.457225,1.734376,0.900225,0.794300
59,0.443031,1.672550,0.909978,0.821800
60,0.462073,1.460926,0.911310,0.823400
61,0.448442,1.742783,0.911620,0.821900
62,0.418971,1.603341,0.914543,0.826400
63,0.422674,2.139387,0.899862,0.809200
64,0.458874,2.003082,0.911925,0.816600
65,0.423547,2.031570,0.906583,0.828700
66,0.368825,1.661352,0.904697,0.811000
67,0.368958,1.807447,0.908204,0.809600
68,0.388659,2.046568,0.908762,0.803200
69,0.417936,1.673762,0.913936,0.832000
70,0.369636,1.931224,0.912128,0.827400
71,0.378642,2.015678,0.906844,0.811800
72,0.380466,2.195638,0.916583,0.812900
73,0.334365,2.025080,0.902452,0.814200
74,0.330696,2.035072,0.907023,0.817700
75,0.400215,2.223962,0.906604,0.806800
76,0.331860,2.447031,0.906164,0.803500
77,0.349254,2.174472,0.907928,0.811400
78,0.379284,2.052280,0.912503,0.819600
79,0.324111,1.983271,0.908267,0.823500
80,0.360206,2.391791,0.907826,0.824300
81,0.297700,2.178205,0.908832,0.821500
82,0.306036,2.041977,0.914562,0.836400
83,0.339000,2.231952,0.904261,0.806300
84,0.313955,2.535373,0.914221,0.829200
