训练开始时间: 2025-05-28 10:57:44
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	6.2695	1.3924	0.5302	0.3750
2	5.1792	1.5694	0.5524	0.3883
3	4.3721	1.2357	0.5861	0.4148
4	4.1248	1.4421	0.5906	0.4050
5	3.5170	1.2685	0.6029	0.4066
6	3.3589	0.7752	0.6523	0.4444
7	3.0118	1.0724	0.6751	0.4584
8	3.0759	1.2784	0.6774	0.4722
9	2.9161	1.3685	0.7158	0.5513
10	2.7975	1.3217	0.7580	0.5725
11	2.6536	1.2953	0.7575	0.5598
12	2.5156	1.6528	0.7556	0.5547
13	2.4044	2.4113	0.7490	0.5752
14	2.3278	1.4479	0.7830	0.6033
15	2.1507	1.3961	0.7989	0.6355
16	2.1174	1.3733	0.8032	0.6205
17	1.7212	1.4254	0.8012	0.6640
18	1.9621	2.2408	0.7875	0.6458
19	1.6444	1.3021	0.8254	0.6677
20	1.6849	1.8495	0.8223	0.6599
21	1.4786	1.0786	0.8478	0.7044
22	1.2848	1.2799	0.8472	0.7144
23	1.4078	1.0256	0.8654	0.7627
24	1.1989	1.0147	0.8654	0.7680
25	1.1591	1.0451	0.8659	0.7644
26	1.0033	1.1477	0.8595	0.7600
27	1.0362	1.0485	0.8601	0.7464
28	0.9693	1.0249	0.8840	0.7841
29	0.9801	0.9747	0.8866	0.7889
30	0.9924	1.0039	0.8875	0.7920
31	1.0645	0.9278	0.8783	0.7742
32	0.9639	1.0548	0.8804	0.7747
33	0.9077	1.1720	0.8844	0.7840
34	0.8343	1.2409	0.8820	0.7947
35	0.9033	1.1372	0.8897	0.8049
36	0.7231	1.1702	0.8816	0.7865
37	0.8610	0.9423	0.8996	0.8158
38	0.7725	1.0738	0.8957	0.8124
39	0.6732	1.2495	0.8886	0.8056
40	0.7723	1.2558	0.8895	0.7965
41	0.6716	1.0707	0.8959	0.7963
42	0.6569	1.0803	0.9029	0.8204
43	0.6572	1.1071	0.8961	0.7995
44	0.7356	1.1456	0.8940	0.8025
45	0.5813	1.1340	0.9060	0.8290
46	0.5820	1.1615	0.9058	0.8329
47	0.5923	1.5740	0.8869	0.7759
48	0.5799	1.3494	0.8972	0.7947
49	0.6326	1.2483	0.9013	0.8090
50	0.5486	1.5195	0.8983	0.7848
51	0.5273	1.3914	0.9061	0.8232
52	0.5182	1.4445	0.9028	0.8024
53	0.5325	1.7161	0.9049	0.7945
54	0.4776	1.4602	0.9023	0.8062
55	0.5117	1.5353	0.9059	0.8022
56	0.4677	1.6415	0.9060	0.8138
57	0.4752	1.7242	0.9072	0.8136
58	0.4572	1.7344	0.9002	0.7943
59	0.4430	1.6725	0.9100	0.8218
60	0.4621	1.4609	0.9113	0.8234
61	0.4484	1.7428	0.9116	0.8219
62	0.4190	1.6033	0.9145	0.8264
63	0.4227	2.1394	0.8999	0.8092
64	0.4589	2.0031	0.9119	0.8166
65	0.4235	2.0316	0.9066	0.8287
66	0.3688	1.6614	0.9047	0.8110
67	0.3690	1.8074	0.9082	0.8096
68	0.3887	2.0466	0.9088	0.8032
69	0.4179	1.6738	0.9139	0.8320
70	0.3696	1.9312	0.9121	0.8274
71	0.3786	2.0157	0.9068	0.8118
72	0.3805	2.1956	0.9166	0.8129
73	0.3344	2.0251	0.9025	0.8142
74	0.3307	2.0351	0.9070	0.8177
75	0.4002	2.2240	0.9066	0.8068
76	0.3319	2.4470	0.9062	0.8035
77	0.3493	2.1745	0.9079	0.8114
78	0.3793	2.0523	0.9125	0.8196
79	0.3241	1.9833	0.9083	0.8235
80	0.3602	2.3918	0.9078	0.8243
81	0.2977	2.1782	0.9088	0.8215
82	0.3060	2.0420	0.9146	0.8364
83	0.3390	2.2320	0.9043	0.8063
84	0.3140	2.5354	0.9142	0.8292
