+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.9948   |
| epoch 2  |   0.8617   |
| epoch 3  |   0.8053   |
| epoch 4  |   0.7333   |
| epoch 5  |   0.6942   |
| epoch 6  |   0.6726   |
| epoch 7  |   0.6607   |
| epoch 8  |   0.6287   |
| epoch 9  |   0.6039   |
| epoch 10 |   0.5842   |
| epoch 11 |   0.5664   |
| epoch 12 |   0.5376   |
| epoch 13 |   0.5117   |
| epoch 14 |   0.4968   |
| epoch 15 |   0.4702   |
| epoch 16 |   0.4558   |
| epoch 17 |   0.4360   |
| epoch 18 |   0.4011   |
| epoch 19 |   0.3798   |
| epoch 20 |   0.3621   |
| epoch 21 |   0.3387   |
| epoch 22 |   0.3236   |
| epoch 23 |   0.2962   |
| epoch 24 |   0.2777   |
| epoch 25 |   0.2640   |
| epoch 26 |   0.2441   |
| epoch 27 |   0.2337   |
| epoch 28 |   0.2209   |
| epoch 29 |   0.2007   |
| epoch 30 |   0.1821   |
| epoch 31 |   0.1707   |
| epoch 32 |   0.1594   |
| epoch 33 |   0.1576   |
| epoch 34 |   0.1375   |
| epoch 35 |   0.1296   |
| epoch 36 |   0.1174   |
| epoch 37 |   0.0982   |
| epoch 38 |   0.1019   |
| epoch 39 |   0.0975   |
| epoch 40 |   0.0873   |
| epoch 41 |   0.0827   |
| epoch 42 |   0.0798   |
| epoch 43 |   0.0784   |
| epoch 44 |   0.0759   |
+----------+------------+
