训练开始时间: 2025-05-24 15:55:02
模型: DrugBAN3D
总训练轮数: 50

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	0.9948	0.5219	0.6941	0.5192
2	0.8617	0.4965	0.7508	0.5667
3	0.8053	0.4959	0.8027	0.6475
4	0.7333	0.5065	0.7782	0.6166
5	0.6942	0.4066	0.8322	0.7079
6	0.6726	0.4774	0.8298	0.7101
7	0.6607	0.4251	0.8343	0.7030
8	0.6287	0.4227	0.8676	0.7701
9	0.6039	0.3981	0.8591	0.7581
10	0.5842	0.4442	0.8613	0.7544
11	0.5664	0.3897	0.8713	0.7668
12	0.5376	0.3874	0.8768	0.7898
13	0.5117	0.4781	0.8730	0.7920
14	0.4968	0.3967	0.8825	0.8036
15	0.4702	0.4084	0.8964	0.8196
16	0.4558	0.4125	0.8847	0.8038
17	0.4360	0.4028	0.9043	0.8343
18	0.4011	0.4296	0.8956	0.8212
19	0.3798	0.4714	0.8924	0.8304
20	0.3621	0.4524	0.8905	0.8168
21	0.3387	0.4435	0.8944	0.8303
22	0.3236	0.4234	0.9082	0.8395
23	0.2962	0.4523	0.9093	0.8334
24	0.2777	0.4648	0.9024	0.8324
25	0.2640	0.4743	0.9057	0.8335
26	0.2441	0.5140	0.9031	0.8286
27	0.2337	0.5474	0.9067	0.8226
28	0.2209	0.5467	0.9020	0.8403
29	0.2007	0.5335	0.9018	0.8315
30	0.1821	0.5413	0.9002	0.8309
31	0.1707	0.5754	0.9104	0.8480
32	0.1594	0.5624	0.9108	0.8473
33	0.1576	0.5767	0.9057	0.8479
34	0.1375	0.6407	0.9065	0.8368
35	0.1296	0.6253	0.9076	0.8327
36	0.1174	0.5961	0.9137	0.8538
37	0.0982	0.6590	0.9065	0.8467
38	0.1019	0.6429	0.9027	0.8391
39	0.0975	0.6448	0.9048	0.8459
40	0.0873	0.6649	0.9026	0.8369
41	0.0827	0.6737	0.9095	0.8466
42	0.0798	0.6773	0.9073	0.8449
43	0.0784	0.6887	0.9074	0.8429
44	0.0759	0.7027	0.9070	0.8423
