epoch,train_loss,val_loss,val_auroc,val_auprc
1,0.994830,0.521919,0.694149,0.519200
2,0.861692,0.496545,0.750826,0.566700
3,0.805337,0.495890,0.802675,0.647500
4,0.733308,0.506525,0.778228,0.616600
5,0.694229,0.406614,0.832159,0.707900
6,0.672565,0.477374,0.829786,0.710100
7,0.660690,0.425133,0.834346,0.703000
8,0.628686,0.422660,0.867603,0.770100
9,0.603925,0.398123,0.859050,0.758100
10,0.584162,0.444208,0.861322,0.754400
11,0.566359,0.389689,0.871337,0.766800
12,0.537563,0.387421,0.876829,0.789800
13,0.511701,0.478054,0.873002,0.792000
14,0.496794,0.396712,0.882541,0.803600
15,0.470215,0.408439,0.896412,0.819600
16,0.455767,0.412508,0.884707,0.803800
17,0.436041,0.402751,0.904320,0.834300
18,0.401110,0.429573,0.895616,0.821200
19,0.379776,0.471443,0.892378,0.830400
20,0.362091,0.452418,0.890511,0.816800
21,0.338662,0.443476,0.894448,0.830300
22,0.323640,0.423396,0.908231,0.839500
23,0.296218,0.452287,0.909260,0.833400
24,0.277651,0.464774,0.902435,0.832400
25,0.264015,0.474345,0.905715,0.833500
26,0.244086,0.514021,0.903080,0.828600
27,0.233731,0.547421,0.906735,0.822600
28,0.220872,0.546681,0.902027,0.840300
29,0.200664,0.533458,0.901774,0.831500
30,0.182085,0.541285,0.900197,0.830900
31,0.170685,0.575403,0.910360,0.848000
32,0.159413,0.562394,0.910794,0.847300
33,0.157630,0.576734,0.905656,0.847900
34,0.137542,0.640689,0.906532,0.836800
35,0.129561,0.625336,0.907590,0.832700
36,0.117380,0.596112,0.913660,0.853800
37,0.098154,0.659030,0.906537,0.846700
38,0.101921,0.642931,0.902680,0.839100
39,0.097459,0.644812,0.904796,0.845900
40,0.087309,0.664944,0.902646,0.836900
41,0.082749,0.673669,0.909536,0.846600
42,0.079799,0.677332,0.907312,0.844900
43,0.078410,0.688677,0.907352,0.842900
44,0.075890,0.702663,0.906958,0.842300
