epoch	train_loss	val_loss	auroc	auprc
1	2.5988	2.1019	0.6570	0.4626
2	1.7105	1.6783	0.6961	0.4927
3	1.4546	1.9931	0.7922	0.5985
4	1.2787	1.4258	0.8222	0.6421
5	1.3140	1.6284	0.8126	0.6173
6	1.1669	1.1814	0.8300	0.6719
7	1.0464	1.2330	0.8192	0.6587
8	0.9155	2.0458	0.8219	0.6389
9	0.8290	1.4396	0.8450	0.7003
10	0.7457	1.5513	0.8459	0.6997
11	0.6169	1.2749	0.8602	0.7297
12	0.5784	1.2850	0.8648	0.7345
13	0.4719	1.1285	0.8801	0.7837
14	0.4607	1.1230	0.8800	0.7778
15	0.3952	1.3827	0.8708	0.7573
16	0.3661	1.2755	0.8867	0.7839
17	0.3560	1.7398	0.8796	0.7689
18	0.3047	1.5632	0.8872	0.7898
19	0.2935	1.3441	0.8940	0.7987
20	0.2828	1.4180	0.9029	0.8204
21	0.2488	1.8899	0.8812	0.7725
22	0.2498	1.7618	0.8956	0.8115
23	0.2348	1.9833	0.8962	0.7898
24	0.2242	1.9923	0.8967	0.7982
25	0.2337	2.3564	0.8860	0.7743
26	0.1746	2.6039	0.9002	0.8110
27	0.1538	2.5844	0.8952	0.7943
28	0.1518	3.0194	0.8887	0.7847
29	0.1421	2.9217	0.8985	0.8044
30	0.1416	2.2534	0.8996	0.8123
31	0.1262	2.8006	0.9065	0.8161
32	0.1125	3.0315	0.9025	0.8110
33	0.1098	2.6541	0.9044	0.8173
34	0.1027	3.2536	0.8980	0.8017
35	0.0977	2.9536	0.9011	0.8053
36	0.1033	3.0944	0.9018	0.8058
37	0.0892	3.1080	0.9031	0.8121
38	0.0955	3.4145	0.9046	0.8054
39	0.0821	2.9986	0.9017	0.8124
40	0.0852	3.2552	0.9006	0.8094
41	0.0878	3.7726	0.9021	0.8038
42	0.0794	3.7723	0.9031	0.8058
43	0.0715	3.5217	0.9030	0.8073
44	0.0733	3.4973	0.9007	0.8076
45	0.0736	3.7057	0.9013	0.8023
46	0.0713	3.7608	0.9014	0.8058
47	0.0729	3.7880	0.8995	0.8018
48	0.0752	3.7954	0.8984	0.7995
49	0.0662	3.7467	0.8995	0.8022
50	0.0670	3.7416	0.8997	0.8039
