epoch	train_loss	val_loss	auroc	auprc
1	2.9913	1.3010	0.5758	0.3889
2	2.2470	1.1690	0.6348	0.4361
3	1.9510	1.5725	0.6637	0.4507
4	1.6724	1.0463	0.6957	0.4998
5	1.5348	0.8891	0.7742	0.5845
6	1.4033	0.9690	0.7993	0.5986
7	1.5702	1.1712	0.7761	0.5874
8	1.3995	1.1853	0.7806	0.5933
9	1.3531	1.2144	0.7940	0.6163
10	1.2804	1.0026	0.7466	0.5649
11	1.0353	0.9697	0.8204	0.6592
12	0.9419	1.2212	0.8148	0.6459
13	0.8673	1.3144	0.8129	0.6312
14	0.8378	1.3240	0.7816	0.5842
15	0.7373	0.9787	0.8358	0.6787
16	0.7046	0.6519	0.8505	0.7249
17	0.6182	0.7638	0.8364	0.7061
18	0.5999	1.3143	0.8300	0.7102
19	0.5498	0.6871	0.8665	0.7581
20	0.5850	0.6560	0.8684	0.7475
21	0.5536	0.6560	0.8735	0.7778
22	0.4987	0.6934	0.8615	0.7514
23	0.4700	0.6803	0.8612	0.7469
24	0.5045	0.8607	0.8743	0.7736
25	0.4873	0.7754	0.8885	0.7888
26	0.4710	0.7866	0.8885	0.7967
27	0.4438	0.9287	0.8624	0.7465
28	0.4288	0.8710	0.8811	0.7926
29	0.4353	0.8784	0.8744	0.7808
30	0.4281	1.0115	0.8760	0.7832
31	0.3760	0.9923	0.8881	0.8091
32	0.3677	0.6993	0.8986	0.8119
33	0.3396	1.0951	0.8764	0.7942
34	0.3633	0.8207	0.8961	0.8178
35	0.3473	0.9614	0.8799	0.7953
36	0.3291	1.0512	0.8797	0.8019
37	0.3504	0.7939	0.8932	0.8164
38	0.3402	0.8821	0.8951	0.8216
39	0.3125	0.9352	0.8964	0.8175
40	0.2903	0.9805	0.9008	0.8252
41	0.3002	1.1403	0.8985	0.8186
42	0.2880	1.0601	0.8970	0.8199
43	0.2853	0.9357	0.9021	0.8333
44	0.2989	1.2001	0.8967	0.8186
45	0.2906	1.1770	0.9044	0.8320
46	0.2973	1.0415	0.8951	0.8239
47	0.3084	1.2348	0.8971	0.8219
48	0.2949	1.2093	0.8860	0.8107
49	0.2967	1.1944	0.8922	0.8113
50	0.2918	1.2209	0.8694	0.7731
51	0.2746	1.5364	0.8838	0.7944
52	0.2728	1.7531	0.8846	0.7924
53	0.2591	1.6572	0.8903	0.8139
54	0.2524	1.6432	0.8860	0.8009
