epoch	train_loss	val_loss	auroc	auprc
1	2.3661	1.0306	0.5860	0.3993
2	1.5997	0.6480	0.6900	0.4908
3	1.4845	1.0157	0.7266	0.5338
4	1.3468	0.9331	0.7679	0.5647
5	1.0802	1.0641	0.7645	0.5851
6	1.0416	0.6338	0.7907	0.6419
7	1.0273	0.9112	0.8239	0.6674
8	0.8643	0.6880	0.7937	0.6452
9	0.7913	1.0217	0.8074	0.6492
10	0.7601	0.6647	0.8172	0.6758
11	0.6957	0.7747	0.8381	0.7104
12	0.6495	0.7477	0.8300	0.6973
13	0.5338	0.6389	0.8604	0.7378
14	0.5166	0.7686	0.8627	0.7421
15	0.5376	0.6578	0.8694	0.7700
16	0.4558	0.6740	0.8654	0.7705
17	0.4808	0.7917	0.8635	0.7581
18	0.4354	0.7785	0.8736	0.7643
19	0.4482	0.7874	0.8786	0.7906
20	0.4352	0.8662	0.8746	0.7832
21	0.3998	0.8540	0.8779	0.7914
22	0.3834	0.9672	0.8674	0.7759
23	0.3940	0.8141	0.8771	0.7873
24	0.3847	0.8942	0.8829	0.7925
25	0.3663	0.8200	0.8897	0.8142
26	0.3484	1.0137	0.8661	0.7667
27	0.3468	0.8337	0.8740	0.7799
28	0.3735	1.0574	0.8771	0.7964
29	0.3520	1.0587	0.8788	0.7892
30	0.3344	0.9127	0.8798	0.7901
31	0.2826	1.1846	0.8763	0.7878
32	0.2635	1.0364	0.8865	0.7933
33	0.2571	1.0779	0.8924	0.8136
34	0.2427	1.0495	0.8896	0.8052
35	0.2433	1.1763	0.8771	0.7878
36	0.2483	1.1299	0.8866	0.8054
37	0.2541	1.1210	0.8895	0.8127
38	0.2564	1.2629	0.8759	0.7961
39	0.2251	1.1432	0.8876	0.8127
40	0.2098	1.2483	0.8909	0.8099
41	0.2124	1.2458	0.8886	0.8090
42	0.1910	1.6200	0.8914	0.8044
43	0.1916	1.5125	0.8888	0.8053
44	0.1848	1.5544	0.8898	0.8058
45	0.1806	1.3335	0.8928	0.8155
46	0.1768	1.4938	0.8970	0.8218
47	0.1745	1.3897	0.8945	0.8225
48	0.1774	1.6332	0.8922	0.8138
49	0.1686	1.6823	0.8898	0.8141
50	0.1661	1.5667	0.8927	0.8136
51	0.1548	1.6365	0.8904	0.8100
52	0.1544	1.9182	0.8907	0.8126
53	0.1644	1.6892	0.8901	0.8070
54	0.1561	1.7180	0.8938	0.8137
55	0.1547	1.6368	0.8932	0.8170
56	0.1592	1.7366	0.8923	0.8167
57	0.1493	1.7807	0.8921	0.8159
58	0.1580	1.7071	0.8929	0.8160
59	0.1429	1.6989	0.8936	0.8189
60	0.1416	1.6597	0.8925	0.8157
