+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |  14.5550   |
| epoch 2  |  10.2628   |
| epoch 3  |   8.8373   |
| epoch 4  |   7.2168   |
| epoch 5  |   6.3136   |
| epoch 6  |   5.4008   |
| epoch 7  |   5.2240   |
| epoch 8  |   4.3966   |
| epoch 9  |   4.5506   |
| epoch 10 |   4.3278   |
| epoch 11 |   3.9194   |
| epoch 12 |   3.9114   |
| epoch 13 |   4.1350   |
| epoch 14 |   4.3561   |
| epoch 15 |   3.8747   |
| epoch 16 |   3.6588   |
| epoch 17 |   3.9731   |
| epoch 18 |   3.4672   |
| epoch 19 |   3.7748   |
| epoch 20 |   3.7472   |
| epoch 21 |   3.4394   |
| epoch 22 |   3.5631   |
| epoch 23 |   3.5126   |
| epoch 24 |   3.6602   |
| epoch 25 |   3.7761   |
| epoch 26 |   3.6364   |
| epoch 27 |   3.5661   |
| epoch 28 |   3.2537   |
| epoch 29 |   3.4449   |
| epoch 30 |   3.5573   |
| epoch 31 |   3.4300   |
| epoch 32 |   3.1938   |
| epoch 33 |   3.3846   |
| epoch 34 |   3.0427   |
| epoch 35 |   3.1556   |
| epoch 36 |   3.5401   |
| epoch 37 |   3.1845   |
| epoch 38 |   3.3584   |
| epoch 39 |   3.2958   |
| epoch 40 |   3.2205   |
| epoch 41 |   3.3881   |
| epoch 42 |   3.1145   |
| epoch 43 |   3.3455   |
| epoch 44 |   2.9542   |
| epoch 45 |   3.5949   |
| epoch 46 |   3.5086   |
| epoch 47 |   3.3811   |
| epoch 48 |   3.4391   |
| epoch 49 |   3.3211   |
| epoch 50 |   3.4391   |
| epoch 51 |   3.1766   |
| epoch 52 |   3.4357   |
| epoch 53 |   3.1202   |
+----------+------------+
