+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |  11.9600   |
|  epoch 2  |   8.5969   |
|  epoch 3  |   8.2164   |
|  epoch 4  |   7.5942   |
|  epoch 5  |   6.9206   |
|  epoch 6  |   6.2747   |
|  epoch 7  |   6.2005   |
|  epoch 8  |   5.3145   |
|  epoch 9  |   5.2755   |
|  epoch 10 |   4.7665   |
|  epoch 11 |   4.7894   |
|  epoch 12 |   4.3606   |
|  epoch 13 |   4.7368   |
|  epoch 14 |   4.1290   |
|  epoch 15 |   4.0723   |
|  epoch 16 |   4.3002   |
|  epoch 17 |   3.6173   |
|  epoch 18 |   3.7866   |
|  epoch 19 |   3.3246   |
|  epoch 20 |   3.3645   |
|  epoch 21 |   3.7136   |
|  epoch 22 |   3.6872   |
|  epoch 23 |   3.3706   |
|  epoch 24 |   3.6395   |
|  epoch 25 |   3.3075   |
|  epoch 26 |   3.1243   |
|  epoch 27 |   3.4038   |
|  epoch 28 |   3.0405   |
|  epoch 29 |   2.8239   |
|  epoch 30 |   3.1990   |
|  epoch 31 |   2.9854   |
|  epoch 32 |   2.7394   |
|  epoch 33 |   2.9935   |
|  epoch 34 |   3.4833   |
|  epoch 35 |   3.2459   |
|  epoch 36 |   3.0281   |
|  epoch 37 |   3.6621   |
|  epoch 38 |   3.4248   |
|  epoch 39 |   3.0962   |
|  epoch 40 |   3.1117   |
|  epoch 41 |   3.0885   |
|  epoch 42 |   2.6736   |
|  epoch 43 |   2.5279   |
|  epoch 44 |   2.9177   |
|  epoch 45 |   2.9320   |
|  epoch 46 |   2.8306   |
|  epoch 47 |   2.9495   |
|  epoch 48 |   2.9385   |
|  epoch 49 |   2.9902   |
|  epoch 50 |   2.7977   |
|  epoch 51 |   2.9266   |
|  epoch 52 |   2.7954   |
|  epoch 53 |   2.6605   |
|  epoch 54 |   2.6639   |
|  epoch 55 |   2.7383   |
|  epoch 56 |   2.6943   |
|  epoch 57 |   2.7151   |
|  epoch 58 |   2.6066   |
|  epoch 59 |   2.5612   |
|  epoch 60 |   2.7059   |
|  epoch 61 |   2.4123   |
|  epoch 62 |   2.3939   |
|  epoch 63 |   2.5133   |
|  epoch 64 |   2.2679   |
|  epoch 65 |   2.6063   |
|  epoch 66 |   2.5022   |
|  epoch 67 |   2.0470   |
|  epoch 68 |   2.1686   |
|  epoch 69 |   2.2134   |
|  epoch 70 |   2.1763   |
|  epoch 71 |   2.2932   |
|  epoch 72 |   2.5177   |
|  epoch 73 |   2.0486   |
|  epoch 74 |   1.9353   |
|  epoch 75 |   2.2407   |
|  epoch 76 |   2.0853   |
|  epoch 77 |   2.4064   |
|  epoch 78 |   2.4538   |
|  epoch 79 |   2.1024   |
|  epoch 80 |   2.1596   |
|  epoch 81 |   1.9916   |
|  epoch 82 |   1.6555   |
|  epoch 83 |   1.8345   |
|  epoch 84 |   1.9754   |
|  epoch 85 |   1.9149   |
|  epoch 86 |   1.9500   |
|  epoch 87 |   1.6918   |
|  epoch 88 |   1.5241   |
|  epoch 89 |   1.6509   |
|  epoch 90 |   1.6258   |
|  epoch 91 |   1.6177   |
|  epoch 92 |   1.7562   |
|  epoch 93 |   1.6751   |
|  epoch 94 |   1.7842   |
|  epoch 95 |   1.7632   |
|  epoch 96 |   1.5571   |
|  epoch 97 |   1.7023   |
|  epoch 98 |   1.5806   |
|  epoch 99 |   1.8035   |
| epoch 100 |   1.5241   |
| epoch 101 |   1.4329   |
| epoch 102 |   1.3099   |
| epoch 103 |   1.4784   |
| epoch 104 |   1.4757   |
| epoch 105 |   1.6168   |
| epoch 106 |   1.4563   |
| epoch 107 |   1.3402   |
| epoch 108 |   1.5180   |
| epoch 109 |   1.3973   |
| epoch 110 |   1.3795   |
| epoch 111 |   1.3990   |
| epoch 112 |   1.2139   |
| epoch 113 |   1.2653   |
| epoch 114 |   1.4859   |
| epoch 115 |   1.3595   |
| epoch 116 |   1.2699   |
| epoch 117 |   1.3873   |
| epoch 118 |   1.1871   |
| epoch 119 |   1.2244   |
| epoch 120 |   1.1356   |
+-----------+------------+
