epoch,train_loss,val_loss,val_auroc,val_auprc
1,11.959960,2.044320,0.537927,0.370200
2,8.596919,2.875386,0.562409,0.379400
3,8.216362,1.900702,0.530761,0.377400
4,7.594153,2.029871,0.609040,0.410500
5,6.920599,2.008166,0.617982,0.428400
6,6.274675,2.051708,0.613006,0.422700
7,6.200532,2.064119,0.626642,0.441500
8,5.314472,2.339746,0.633655,0.440600
9,5.275486,1.201598,0.659888,0.475300
10,4.766484,1.457167,0.693098,0.492300
11,4.789444,2.199954,0.679458,0.482000
12,4.360644,3.346348,0.662532,0.469700
13,4.736829,1.222060,0.742805,0.559100
14,4.128995,2.139635,0.752432,0.548000
15,4.072310,2.250881,0.778340,0.565500
16,4.300200,2.492453,0.776106,0.599500
17,3.617296,2.311497,0.796732,0.594800
18,3.786631,2.014212,0.809701,0.627200
19,3.324600,1.817559,0.795436,0.627600
20,3.364516,1.376441,0.826393,0.665500
21,3.713648,1.695552,0.831956,0.661700
22,3.687179,2.044709,0.821292,0.637100
23,3.370631,1.730734,0.817628,0.659000
24,3.639497,1.562767,0.828216,0.653500
25,3.307501,1.569001,0.834928,0.680800
26,3.124283,1.398350,0.824652,0.697400
27,3.403779,2.145746,0.829685,0.664200
28,3.040511,1.806442,0.833971,0.672300
29,2.823859,1.415047,0.849533,0.697400
30,3.199012,1.772731,0.841828,0.675200
31,2.985393,1.502116,0.848521,0.694200
32,2.739363,1.660402,0.850121,0.691400
33,2.993522,1.488635,0.848859,0.703200
34,3.483277,1.462164,0.847535,0.700500
35,3.245853,2.033556,0.857044,0.710000
36,3.028107,2.004156,0.856949,0.686100
37,3.662110,1.841124,0.851063,0.699600
38,3.424762,2.033822,0.847729,0.693500
39,3.096151,1.593957,0.860033,0.724300
40,3.111673,2.101839,0.837354,0.671600
41,3.088459,2.060603,0.852671,0.690400
42,2.673605,1.833689,0.851246,0.697400
43,2.527866,1.624310,0.858692,0.702100
44,2.917668,2.098877,0.851164,0.698800
45,2.931987,2.018410,0.843071,0.687900
46,2.830626,1.928816,0.862555,0.695700
47,2.949527,2.010293,0.859632,0.706700
48,2.938488,2.088623,0.862802,0.701000
49,2.990227,1.474795,0.873124,0.743100
50,2.797698,2.382251,0.858785,0.700400
51,2.926632,1.737290,0.873289,0.728900
52,2.795413,2.351085,0.844062,0.693000
53,2.660464,2.483736,0.870075,0.704800
54,2.663851,1.652804,0.871487,0.733800
55,2.738301,1.460455,0.875493,0.739200
56,2.694341,1.650107,0.875202,0.733300
57,2.715071,2.074177,0.866393,0.704400
58,2.606614,1.745956,0.883044,0.739100
59,2.561154,1.623518,0.877782,0.740500
60,2.705873,2.086400,0.877668,0.724500
61,2.412256,2.133527,0.859784,0.709900
62,2.393869,1.879371,0.872317,0.724300
63,2.513313,2.079657,0.871533,0.718900
64,2.267940,2.209702,0.864222,0.716700
65,2.606262,2.005002,0.862591,0.699800
66,2.502190,1.862039,0.880104,0.742800
67,2.047030,1.477485,0.879740,0.745900
68,2.168575,1.735542,0.875807,0.737500
69,2.213354,1.585524,0.875792,0.737900
70,2.176267,1.655098,0.883696,0.740200
71,2.293199,2.378260,0.868315,0.692400
72,2.517727,1.238992,0.894714,0.781700
73,2.048637,1.579383,0.885582,0.766700
74,1.935350,1.813231,0.885377,0.736100
75,2.240716,1.828733,0.886176,0.745300
76,2.085344,1.344266,0.895476,0.782800
77,2.406406,1.801389,0.871316,0.732900
78,2.453843,1.450280,0.893436,0.781400
79,2.102426,1.396270,0.891936,0.774600
80,2.159570,1.531901,0.882981,0.755300
81,1.991597,1.548212,0.889242,0.766800
82,1.655506,1.466961,0.874562,0.765200
83,1.834499,1.535151,0.886168,0.781100
84,1.975360,1.563430,0.875114,0.763200
85,1.914943,1.503340,0.893993,0.786400
86,1.950016,1.693490,0.879137,0.779500
87,1.691819,1.393211,0.892395,0.779200
88,1.524143,1.640419,0.882853,0.766300
89,1.650943,2.106716,0.880125,0.756400
90,1.625808,2.982610,0.846977,0.733400
91,1.617733,2.177495,0.868985,0.744200
92,1.756215,2.842415,0.849503,0.756300
93,1.675147,1.214159,0.889885,0.796700
94,1.784157,1.710077,0.879546,0.762800
95,1.763225,1.772666,0.881700,0.758700
96,1.557112,1.929522,0.878168,0.759000
97,1.702275,1.867539,0.882456,0.781800
98,1.580560,2.014892,0.878530,0.764900
99,1.803533,1.811437,0.868408,0.749800
100,1.524094,0.726041,0.896083,0.826900
101,1.432879,1.244985,0.892585,0.819900
102,1.309934,1.660192,0.873626,0.806600
103,1.478441,1.804984,0.868524,0.779900
104,1.475689,2.091336,0.860521,0.789800
105,1.616789,2.449325,0.839126,0.739500
106,1.456288,2.669263,0.828416,0.756500
107,1.340245,1.845804,0.845596,0.778500
108,1.517960,1.776256,0.863896,0.768000
109,1.397262,1.143745,0.885234,0.818200
110,1.379451,1.230967,0.898182,0.820600
111,1.398987,1.794077,0.876138,0.814700
112,1.213896,1.012564,0.897091,0.831600
113,1.265322,1.644805,0.862663,0.776000
114,1.485861,2.262491,0.789090,0.720200
115,1.359521,1.687075,0.874737,0.805900
116,1.269919,1.921589,0.861335,0.765100
117,1.387301,2.422773,0.835269,0.769000
118,1.187143,1.798357,0.868119,0.786700
119,1.224363,1.629592,0.870829,0.778200
120,1.135602,2.109157,0.865765,0.805200
