训练开始时间: 2025-05-31 10:04:04
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	11.3531	1.9115	0.5281	0.3732
2	7.0794	2.2558	0.5434	0.3717
3	6.4171	2.4147	0.5643	0.3986
4	5.5507	1.8713	0.6048	0.4277
5	5.4984	1.4962	0.6001	0.4208
6	4.7308	1.3708	0.6406	0.4446
7	4.0489	1.3957	0.5885	0.4022
8	3.9624	1.3104	0.6272	0.4392
9	3.8463	1.4111	0.6655	0.4693
10	3.6665	1.2124	0.7019	0.4944
11	3.6126	2.3237	0.6823	0.4733
12	3.7973	1.4407	0.6761	0.4707
13	3.7264	1.7653	0.7623	0.5906
14	2.9913	1.7335	0.7850	0.6053
15	3.4299	2.1236	0.7701	0.5835
16	3.1679	1.5054	0.7975	0.6373
17	3.2136	1.1629	0.7909	0.6186
18	3.2331	1.9799	0.8121	0.6386
19	2.9820	1.8935	0.8281	0.6722
20	3.1410	1.9661	0.8059	0.6349
21	2.8820	1.8432	0.8285	0.6695
22	2.7478	1.3598	0.8235	0.6760
23	2.7866	1.5197	0.8246	0.6550
24	2.8807	1.1745	0.8129	0.6702
25	2.5962	1.1061	0.8534	0.7153
26	2.6615	1.6826	0.8412	0.6802
27	2.4545	1.3649	0.8379	0.6837
28	2.5127	1.4067	0.8489	0.7167
29	2.4980	1.4058	0.8531	0.7096
30	2.1965	1.5957	0.8470	0.7137
31	2.3610	1.7354	0.8513	0.7197
32	2.2753	1.7700	0.8565	0.7369
33	2.1389	1.3271	0.8676	0.7336
34	1.9966	1.5592	0.8606	0.7541
35	2.0458	1.8198	0.8581	0.7213
36	2.0000	1.6865	0.8591	0.7292
37	2.0807	1.5295	0.8681	0.7489
38	1.8913	1.8196	0.8562	0.7307
39	1.7358	1.5724	0.8654	0.7457
40	1.5938	1.6514	0.8714	0.7553
41	1.6050	1.2428	0.8722	0.7842
42	1.3500	0.8925	0.8741	0.7693
43	1.3696	0.7698	0.8710	0.7754
44	1.2004	0.6889	0.8879	0.8091
45	1.1959	1.2735	0.8830	0.8035
46	1.1302	1.0799	0.8782	0.7974
47	1.1268	0.9908	0.8743	0.7508
48	1.1294	0.8003	0.8829	0.7827
49	0.9609	0.8551	0.8802	0.7825
50	1.0623	1.7639	0.8705	0.7550
51	1.0878	1.4001	0.8734	0.8000
52	1.0753	0.9591	0.8809	0.7816
53	1.0813	0.9094	0.8876	0.7882
54	1.0910	0.7685	0.8943	0.7983
55	0.9223	0.8765	0.8906	0.7987
56	0.9474	0.8957	0.8911	0.8050
57	0.9797	0.7668	0.8936	0.7981
58	1.0475	0.9144	0.8809	0.7701
59	0.9142	0.9080	0.8881	0.7967
60	0.8692	0.8885	0.8893	0.8022
61	0.9210	1.4278	0.8830	0.7998
62	0.8447	0.6936	0.9002	0.8139
63	0.8923	0.9347	0.8952	0.8031
64	1.0041	0.8227	0.9011	0.8239
65	0.7537	0.8842	0.8960	0.8156
66	0.9118	0.8687	0.8934	0.8135
67	0.8553	1.2160	0.8856	0.8062
68	0.8239	0.6826	0.8962	0.8094
69	0.8353	0.9067	0.8944	0.8095
70	0.8437	0.9155	0.8969	0.8170
71	0.8234	1.0659	0.8986	0.8133
72	0.8945	0.8145	0.8890	0.7976
73	0.8665	0.7569	0.9027	0.8206
74	0.7400	0.7781	0.9093	0.8326
75	0.7161	0.7894	0.9070	0.8308
76	0.7508	0.9608	0.9003	0.8084
77	0.7363	1.0744	0.8975	0.8131
78	0.7481	1.0364	0.8985	0.8207
79	0.6817	0.9931	0.9016	0.8271
80	0.6953	0.7900	0.9022	0.8118
81	0.7657	1.0006	0.8985	0.8040
82	0.8189	0.7162	0.9029	0.8265
83	0.8298	0.8696	0.9012	0.8203
84	0.7976	1.0310	0.9072	0.8086
85	0.7336	0.8811	0.9028	0.8097
86	0.7389	0.8347	0.9018	0.8125
87	0.6729	1.1556	0.9071	0.8069
88	0.7071	0.8080	0.8915	0.8044
