epoch,train_loss,val_loss,val_auroc,val_auprc
1,9.797600,3.337754,0.547111,0.389000
2,6.059988,2.733230,0.595857,0.427900
3,4.980612,1.249447,0.597527,0.402400
4,4.293229,1.168948,0.633139,0.427600
5,3.742192,1.143567,0.660465,0.465500
6,3.811317,2.384625,0.659378,0.458800
7,3.301269,1.109137,0.755142,0.586900
8,3.059773,0.743740,0.743602,0.625600
9,2.818623,1.123191,0.799134,0.648600
10,3.083124,1.430313,0.801552,0.645100
11,2.705032,1.104326,0.783539,0.673800
12,2.875002,1.005106,0.799973,0.643500
13,3.617324,1.131154,0.798418,0.674100
14,2.647686,2.052056,0.796215,0.640000
15,2.303406,1.224117,0.820277,0.653900
16,2.399684,0.617438,0.829006,0.707700
17,2.575162,1.350254,0.840998,0.712400
18,2.552846,1.271360,0.834679,0.690000
19,2.156860,1.004077,0.831916,0.681200
20,2.248537,1.528746,0.829910,0.676400
21,2.212670,1.137073,0.845383,0.688400
22,2.482171,0.633070,0.832315,0.726000
23,2.198321,1.834290,0.820759,0.648400
24,2.320784,0.758809,0.844298,0.740400
25,2.110802,1.764114,0.849074,0.705900
26,1.837250,1.524379,0.853651,0.698800
27,2.102377,1.054541,0.869293,0.737800
28,1.726117,1.463798,0.862488,0.753200
29,1.673142,1.144744,0.852888,0.742900
30,1.269341,0.777996,0.863202,0.782300
31,1.400068,1.162342,0.861668,0.781500
32,1.468686,0.810615,0.864237,0.756300
33,1.414678,0.973515,0.850795,0.737300
34,1.302308,1.258159,0.867088,0.780200
35,1.060603,1.222244,0.871995,0.788900
36,1.148563,1.157960,0.875927,0.780800
37,1.179741,0.995173,0.880425,0.794900
38,1.101417,0.826626,0.873881,0.777400
39,1.156471,1.228548,0.873320,0.792400
40,1.072011,1.226430,0.879143,0.796300
41,1.113506,1.283520,0.877655,0.806500
42,1.035964,0.797263,0.884526,0.789200
43,1.147656,1.238768,0.881677,0.790800
44,1.148095,0.842613,0.885917,0.805900
45,1.080723,1.192052,0.887236,0.808500
46,1.124228,1.212911,0.883430,0.801200
47,1.053139,0.742669,0.889516,0.798100
48,1.115836,1.186826,0.881828,0.802500
49,1.007323,1.378883,0.888033,0.806700
50,0.912955,0.907909,0.897525,0.817200
51,1.034270,0.889487,0.887316,0.816900
52,1.052683,1.034233,0.881824,0.815300
53,1.003040,0.793231,0.895165,0.825200
54,0.926930,0.765038,0.895175,0.823700
55,0.831029,0.935040,0.884014,0.812300
56,0.962958,0.790623,0.890739,0.814300
57,0.957152,0.621397,0.906996,0.834700
58,0.843475,0.713503,0.907957,0.838600
59,0.872676,0.811761,0.902427,0.839000
60,0.833884,0.722444,0.907363,0.829800
61,0.845731,1.165293,0.892851,0.825700
62,0.933253,0.697442,0.903531,0.824900
63,0.861333,0.915549,0.902465,0.834700
64,0.961931,0.728354,0.907746,0.835000
65,0.777876,0.763017,0.906899,0.833400
66,0.709900,0.885337,0.901765,0.833500
67,0.812337,1.099893,0.890368,0.819400
68,0.793713,0.830486,0.895188,0.818600
69,0.812450,0.928504,0.899576,0.832500
70,0.713418,0.855583,0.902003,0.836400
71,0.799633,0.918866,0.900682,0.831900
72,0.742709,0.699975,0.909584,0.832700
73,0.819174,0.874769,0.899599,0.829000
74,0.758869,0.860957,0.902022,0.823800
75,0.838887,0.836579,0.903211,0.829200
76,0.852611,0.822804,0.901508,0.826600
77,0.692398,0.781459,0.903810,0.830900
78,0.840578,0.816574,0.903363,0.826100
79,0.685197,0.826196,0.903772,0.825700
80,0.779437,0.802977,0.905106,0.831500
81,0.830755,0.828874,0.904164,0.828200
82,0.864817,0.752120,0.907569,0.827800
83,0.767628,0.868436,0.899797,0.824000
84,0.797337,0.901880,0.901850,0.827800
85,0.760994,0.972251,0.899812,0.820900
86,0.773892,0.772214,0.904012,0.826400
87,0.747811,1.035836,0.899059,0.822200
88,0.835870,0.763538,0.902844,0.824400
89,0.763086,0.707382,0.905512,0.825800
90,0.714398,0.776838,0.904109,0.826400
91,0.654401,0.781361,0.903569,0.825300
