+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   5.7779   |
| epoch 2  |   5.2286   |
| epoch 3  |   4.4671   |
| epoch 4  |   4.2394   |
| epoch 5  |   3.7556   |
| epoch 6  |   3.4672   |
| epoch 7  |   3.1280   |
| epoch 8  |   2.6796   |
| epoch 9  |   2.4339   |
| epoch 10 |   2.3398   |
| epoch 11 |   2.0698   |
| epoch 12 |   1.7674   |
| epoch 13 |   1.7711   |
| epoch 14 |   1.5418   |
| epoch 15 |   1.5367   |
| epoch 16 |   1.4706   |
| epoch 17 |   1.3742   |
| epoch 18 |   1.2074   |
| epoch 19 |   1.1399   |
| epoch 20 |   1.0949   |
| epoch 21 |   0.9735   |
| epoch 22 |   0.9352   |
| epoch 23 |   0.8967   |
| epoch 24 |   0.9244   |
| epoch 25 |   0.8102   |
| epoch 26 |   0.8060   |
| epoch 27 |   0.7363   |
| epoch 28 |   0.7025   |
| epoch 29 |   0.7483   |
| epoch 30 |   0.7920   |
| epoch 31 |   0.7093   |
| epoch 32 |   0.6568   |
| epoch 33 |   0.6288   |
| epoch 34 |   0.7535   |
| epoch 35 |   0.6074   |
| epoch 36 |   0.6034   |
| epoch 37 |   0.5644   |
| epoch 38 |   0.5885   |
| epoch 39 |   0.5667   |
| epoch 40 |   0.5221   |
| epoch 41 |   0.5431   |
| epoch 42 |   0.5111   |
| epoch 43 |   0.4938   |
| epoch 44 |   0.5194   |
| epoch 45 |   0.5577   |
| epoch 46 |   0.4889   |
| epoch 47 |   0.4589   |
| epoch 48 |   0.4375   |
| epoch 49 |   0.4682   |
| epoch 50 |   0.4265   |
+----------+------------+
