训练开始时间: 2025-05-26 12:41:34
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	5.8043	1.4487	0.5766	0.4062
2	5.0579	1.5084	0.5386	0.3729
3	4.4896	0.9273	0.6194	0.4711
4	3.8601	1.2537	0.6234	0.4636
5	3.6970	1.2006	0.6199	0.4371
6	3.6117	1.0779	0.6517	0.4851
7	3.3172	1.3858	0.6652	0.4968
8	2.8344	1.5057	0.6830	0.5016
9	2.7807	1.0552	0.6903	0.4840
10	2.5276	2.6710	0.6913	0.5105
11	2.1639	3.3822	0.6852	0.5187
12	2.0590	1.9143	0.7145	0.5207
13	1.9086	0.9345	0.7472	0.5623
14	1.8039	1.6921	0.7577	0.5710
15	1.6906	2.2200	0.7634	0.5697
16	1.6656	1.6131	0.7777	0.5915
17	1.6656	1.6126	0.7938	0.6457
18	1.4500	3.0374	0.7771	0.6043
19	1.4606	4.5720	0.7519	0.6016
20	1.4068	1.5324	0.7974	0.6391
21	1.2452	2.6253	0.7951	0.6457
22	1.1581	1.4197	0.8189	0.6833
23	1.0385	1.7261	0.7961	0.6516
24	0.9308	1.3518	0.8055	0.6677
25	0.8192	3.6702	0.7970	0.6666
26	1.0354	1.4853	0.8306	0.7033
27	0.8895	1.5270	0.8429	0.7347
28	0.8547	1.8896	0.8335	0.7184
29	0.8382	1.6183	0.8510	0.7402
30	0.8194	1.5601	0.8413	0.7303
31	0.7884	1.8970	0.8647	0.7610
32	0.8245	2.1187	0.8589	0.7465
33	0.7412	1.6592	0.8646	0.7584
34	0.9905	2.1318	0.8606	0.7592
35	0.7965	1.5827	0.8773	0.7829
36	0.6782	1.7453	0.8770	0.7943
37	0.6829	2.1458	0.8768	0.7902
38	0.7428	1.7783	0.8825	0.7889
39	0.9163	1.8460	0.8844	0.8063
40	0.6645	1.7255	0.8810	0.7943
41	0.6088	1.9866	0.8862	0.8063
42	0.6102	2.5109	0.8773	0.7998
43	0.5767	2.5228	0.8829	0.8082
44	0.6535	2.7732	0.8828	0.8155
45	0.6093	1.9445	0.8884	0.8201
46	0.5485	2.4284	0.8886	0.8192
47	0.6310	1.7251	0.8922	0.8208
48	0.4925	2.1539	0.8935	0.8204
49	0.6470	1.8613	0.8859	0.8122
50	0.5231	1.7919	0.9040	0.8412
51	0.5527	2.7303	0.8891	0.8227
52	0.4854	2.5375	0.8925	0.8262
53	0.4682	2.1181	0.8991	0.8263
54	0.4916	2.2185	0.9018	0.8453
55	0.5380	2.0570	0.8967	0.8297
56	0.6798	1.9554	0.8999	0.8247
57	0.4509	1.8382	0.8970	0.8325
58	0.4375	2.3347	0.8996	0.8287
59	0.4358	1.7156	0.9020	0.8331
