epoch,train_loss,val_loss,val_auroc,val_auprc
1,5.804266,1.448749,0.576578,0.406200
2,5.057864,1.508421,0.538563,0.372900
3,4.489577,0.927344,0.619377,0.471100
4,3.860118,1.253728,0.623371,0.463600
5,3.697043,1.200573,0.619858,0.437100
6,3.611690,1.077913,0.651668,0.485100
7,3.317182,1.385836,0.665163,0.496800
8,2.834386,1.505692,0.683011,0.501600
9,2.780697,1.055181,0.690328,0.484000
10,2.527612,2.670957,0.691340,0.510500
11,2.163915,3.382207,0.685192,0.518700
12,2.059021,1.914290,0.714527,0.520700
13,1.908550,0.934513,0.747197,0.562300
14,1.803861,1.692109,0.757663,0.571000
15,1.690590,2.220003,0.763429,0.569700
16,1.665604,1.613085,0.777655,0.591500
17,1.665646,1.612556,0.793769,0.645700
18,1.450020,3.037380,0.777149,0.604300
19,1.460649,4.572044,0.751880,0.601600
20,1.406844,1.532396,0.797406,0.639100
21,1.245249,2.625314,0.795122,0.645700
22,1.158100,1.419720,0.818894,0.683300
23,1.038506,1.726091,0.796055,0.651600
24,0.930777,1.351752,0.805543,0.667700
25,0.819219,3.670185,0.796978,0.666600
26,1.035351,1.485299,0.830648,0.703300
27,0.889452,1.527019,0.842882,0.734700
28,0.854720,1.889589,0.833550,0.718400
29,0.838196,1.618312,0.850991,0.740200
30,0.819450,1.560139,0.841318,0.730300
31,0.788430,1.897035,0.864743,0.761000
32,0.824476,2.118728,0.858878,0.746500
33,0.741185,1.659164,0.864625,0.758400
34,0.990494,2.131813,0.860555,0.759200
35,0.796456,1.582725,0.877285,0.782900
36,0.678233,1.745330,0.877048,0.794300
37,0.682876,2.145780,0.876846,0.790200
38,0.742787,1.778251,0.882509,0.788900
39,0.916320,1.845950,0.884429,0.806300
40,0.664482,1.725549,0.881036,0.794300
41,0.608811,1.986595,0.886153,0.806300
42,0.610194,2.510852,0.877314,0.799800
43,0.576729,2.522844,0.882861,0.808200
44,0.653481,2.773203,0.882806,0.815500
45,0.609286,1.944533,0.888353,0.820100
46,0.548505,2.428434,0.888631,0.819200
47,0.630957,1.725137,0.892163,0.820800
48,0.492469,2.153929,0.893529,0.820400
49,0.646998,1.861337,0.885900,0.812200
50,0.523095,1.791868,0.903961,0.841200
51,0.552672,2.730268,0.889122,0.822700
52,0.485380,2.537548,0.892541,0.826200
53,0.468171,2.118105,0.899112,0.826300
54,0.491631,2.218539,0.901791,0.845300
55,0.538041,2.056968,0.896652,0.829700
56,0.679806,1.955394,0.899930,0.824700
57,0.450896,1.838177,0.896977,0.832500
58,0.437530,2.334702,0.899601,0.828700
59,0.435777,1.715613,0.902022,0.833100
