+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |  10.2059   |
| epoch 2  |   6.0897   |
| epoch 3  |   5.1102   |
| epoch 4  |   5.1910   |
| epoch 5  |   5.1195   |
| epoch 6  |   4.6421   |
| epoch 7  |   3.8562   |
| epoch 8  |   3.8168   |
| epoch 9  |   3.6297   |
| epoch 10 |   3.5849   |
| epoch 11 |   3.5548   |
| epoch 12 |   3.5056   |
| epoch 13 |   3.4260   |
| epoch 14 |   3.5138   |
| epoch 15 |   3.5934   |
| epoch 16 |   4.0063   |
| epoch 17 |   3.6171   |
| epoch 18 |   3.3894   |
| epoch 19 |   3.2238   |
| epoch 20 |   2.9262   |
| epoch 21 |   3.0630   |
| epoch 22 |   3.1332   |
| epoch 23 |   3.3174   |
| epoch 24 |   3.1076   |
| epoch 25 |   3.0488   |
| epoch 26 |   2.9728   |
| epoch 27 |   3.0102   |
| epoch 28 |   2.8046   |
| epoch 29 |   2.9759   |
| epoch 30 |   3.5428   |
| epoch 31 |   3.3957   |
| epoch 32 |   3.0171   |
| epoch 33 |   2.9948   |
| epoch 34 |   2.8365   |
| epoch 35 |   2.9131   |
| epoch 36 |   2.9007   |
| epoch 37 |   2.7067   |
| epoch 38 |   2.8994   |
| epoch 39 |   2.7172   |
| epoch 40 |   2.7159   |
| epoch 41 |   2.7825   |
| epoch 42 |   2.8832   |
| epoch 43 |   2.6166   |
| epoch 44 |   2.8190   |
| epoch 45 |   2.9021   |
| epoch 46 |   2.6246   |
| epoch 47 |   2.8220   |
| epoch 48 |   2.5500   |
| epoch 49 |   2.1788   |
| epoch 50 |   2.4758   |
| epoch 51 |   2.2116   |
| epoch 52 |   2.3424   |
| epoch 53 |   2.4861   |
| epoch 54 |   2.2991   |
| epoch 55 |   2.5153   |
| epoch 56 |   2.3713   |
| epoch 57 |   2.3980   |
| epoch 58 |   2.3190   |
| epoch 59 |   2.6253   |
| epoch 60 |   2.4510   |
| epoch 61 |   2.3685   |
| epoch 62 |   2.1888   |
| epoch 63 |   2.4003   |
| epoch 64 |   2.2024   |
| epoch 65 |   2.4209   |
| epoch 66 |   2.3650   |
| epoch 67 |   2.3444   |
| epoch 68 |   2.4247   |
| epoch 69 |   2.0980   |
| epoch 70 |   2.1829   |
| epoch 71 |   1.9847   |
| epoch 72 |   2.1830   |
| epoch 73 |   2.2175   |
| epoch 74 |   2.1099   |
| epoch 75 |   2.0724   |
| epoch 76 |   2.0691   |
| epoch 77 |   2.1514   |
| epoch 78 |   2.0852   |
| epoch 79 |   1.9809   |
| epoch 80 |   2.0828   |
| epoch 81 |   1.9613   |
| epoch 82 |   1.8804   |
| epoch 83 |   2.1797   |
| epoch 84 |   2.0881   |
| epoch 85 |   2.1020   |
| epoch 86 |   1.8512   |
| epoch 87 |   1.9410   |
| epoch 88 |   2.1050   |
| epoch 89 |   2.1634   |
| epoch 90 |   2.0883   |
| epoch 91 |   2.0177   |
| epoch 92 |   1.7137   |
| epoch 93 |   2.0246   |
| epoch 94 |   2.2188   |
| epoch 95 |   2.1314   |
| epoch 96 |   1.9504   |
+----------+------------+
