训练开始时间: 2025-05-28 17:26:22
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	10.2059	3.1779	0.5192	0.3303
2	6.0897	1.9837	0.5569	0.3989
3	5.1102	1.2507	0.6290	0.4366
4	5.1910	1.5561	0.6816	0.5007
5	5.1195	1.3194	0.7034	0.5192
6	4.6421	1.6999	0.7644	0.5843
7	3.8562	0.9906	0.7584	0.6407
8	3.8168	1.4528	0.7931	0.6263
9	3.6297	1.8362	0.8033	0.5937
10	3.5849	1.4390	0.8072	0.6245
11	3.5548	1.4253	0.8085	0.6240
12	3.5056	1.2131	0.8247	0.6480
13	3.4260	0.9640	0.8153	0.6650
14	3.5138	1.4048	0.8143	0.6388
15	3.5934	1.4551	0.8184	0.6584
16	4.0063	1.1692	0.8274	0.6679
17	3.6171	1.0434	0.8346	0.6769
18	3.3894	1.0735	0.8351	0.6761
19	3.2238	1.2497	0.8087	0.6451
20	2.9262	1.0178	0.8279	0.6822
21	3.0630	1.0356	0.8589	0.7025
22	3.1332	1.1648	0.8567	0.6932
23	3.3174	1.4261	0.8557	0.6939
24	3.1076	1.2522	0.8621	0.7086
25	3.0488	1.3498	0.8548	0.6955
26	2.9728	1.9614	0.8539	0.6800
27	3.0102	1.7873	0.8545	0.6894
28	2.8046	1.6570	0.8662	0.7084
29	2.9759	1.3186	0.8661	0.7177
30	3.5428	1.1330	0.8709	0.7181
31	3.3957	2.0955	0.8642	0.6921
32	3.0171	1.1351	0.8686	0.7265
33	2.9948	1.3265	0.8734	0.7186
34	2.8365	1.0795	0.8786	0.7419
35	2.9131	1.0784	0.8730	0.7147
36	2.9007	1.6445	0.8791	0.7079
37	2.7067	1.0715	0.8886	0.7538
38	2.8994	1.8522	0.8737	0.6914
39	2.7172	1.6226	0.8865	0.7294
40	2.7159	1.6059	0.8847	0.7264
41	2.7825	1.1794	0.8814	0.7494
42	2.8832	1.0501	0.9025	0.7891
43	2.6166	1.9035	0.8837	0.7252
44	2.8190	1.1043	0.8904	0.7527
45	2.9021	1.5806	0.8894	0.7370
46	2.6246	1.1816	0.8924	0.7668
47	2.8220	1.3085	0.8965	0.7629
48	2.5500	1.3772	0.9025	0.7733
49	2.1788	1.1408	0.9057	0.7769
50	2.4758	1.4652	0.9037	0.7675
51	2.2116	1.5499	0.9077	0.7727
52	2.3424	1.4907	0.9005	0.7574
53	2.4861	1.3520	0.9100	0.7856
54	2.2991	2.0376	0.9001	0.7411
55	2.5153	1.4502	0.9040	0.7696
56	2.3713	1.4782	0.9058	0.7697
57	2.3980	1.5147	0.9099	0.7893
58	2.3190	1.1021	0.9079	0.7988
59	2.6253	1.0963	0.9079	0.7965
60	2.4510	1.1242	0.9188	0.8156
61	2.3685	1.4208	0.9135	0.7897
62	2.1888	1.6207	0.9084	0.7757
63	2.4003	1.0894	0.9142	0.8124
64	2.2024	1.4293	0.9140	0.7947
65	2.4209	1.3407	0.9170	0.8067
66	2.3650	1.6260	0.9098	0.7860
67	2.3444	1.5019	0.9155	0.8032
68	2.4247	1.5359	0.9135	0.7948
69	2.0980	1.1584	0.9174	0.8156
70	2.1829	1.3886	0.9163	0.8083
71	1.9847	1.2799	0.9155	0.8123
72	2.1830	1.0911	0.9183	0.8235
73	2.2175	1.0712	0.9193	0.8242
74	2.1099	1.0300	0.9189	0.8194
75	2.0724	1.5964	0.9126	0.7946
76	2.0691	1.2397	0.9184	0.8179
77	2.1514	1.5391	0.9129	0.7956
78	2.0852	1.3368	0.9151	0.8033
79	1.9809	1.2673	0.9169	0.8140
80	2.0828	1.6115	0.9137	0.7934
81	1.9613	1.0540	0.9195	0.8247
82	1.8804	1.3443	0.9165	0.8086
83	2.1797	1.5555	0.9135	0.7952
84	2.0881	1.1509	0.9185	0.8170
85	2.1020	1.5168	0.9119	0.7928
86	1.8512	1.1771	0.9183	0.8164
87	1.9410	1.5623	0.9147	0.7981
88	2.1050	1.2524	0.9172	0.8074
89	2.1634	1.4198	0.9157	0.7998
90	2.0883	1.2745	0.9177	0.8093
91	2.0177	1.2519	0.9172	0.8067
92	1.7137	1.5396	0.9145	0.7959
93	2.0246	1.2533	0.9180	0.8108
94	2.2188	1.1330	0.9184	0.8145
95	2.1314	1.2261	0.9189	0.8118
