epoch,train_loss,val_loss,val_auroc,val_auprc
1,10.205851,3.177916,0.519227,0.330300
2,6.089746,1.983657,0.556877,0.398900
3,5.110204,1.250699,0.628958,0.436600
4,5.191019,1.556050,0.681620,0.500700
5,5.119492,1.319381,0.703407,0.519200
6,4.642109,1.699888,0.764403,0.584300
7,3.856246,0.990615,0.758409,0.640700
8,3.816838,1.452849,0.793060,0.626300
9,3.629668,1.836172,0.803316,0.593700
10,3.584893,1.438950,0.807195,0.624500
11,3.554777,1.425292,0.808470,0.624000
12,3.505603,1.213140,0.824715,0.648000
13,3.425954,0.963996,0.815278,0.665000
14,3.513834,1.404758,0.814268,0.638800
15,3.593367,1.455125,0.818426,0.658400
16,4.006321,1.169206,0.827425,0.667900
17,3.617095,1.043368,0.834650,0.676900
18,3.389421,1.073509,0.835132,0.676100
19,3.223783,1.249727,0.808688,0.645100
20,2.926171,1.017841,0.827881,0.682200
21,3.062952,1.035640,0.858892,0.702500
22,3.133248,1.164802,0.856696,0.693200
23,3.317363,1.426131,0.855693,0.693900
24,3.107575,1.252221,0.862083,0.708600
25,3.048772,1.349838,0.854787,0.695500
26,2.972835,1.961381,0.853917,0.680000
27,3.010211,1.787296,0.854530,0.689400
28,2.804637,1.656950,0.866178,0.708400
29,2.975925,1.318648,0.866123,0.717700
30,3.542804,1.133029,0.870901,0.718100
31,3.395681,2.095471,0.864151,0.692100
32,3.017096,1.135089,0.868581,0.726500
33,2.994821,1.326467,0.873424,0.718600
34,2.836525,1.079473,0.878591,0.741900
35,2.913078,1.078392,0.872979,0.714700
36,2.900739,1.644475,0.879135,0.707900
37,2.706735,1.071502,0.888581,0.753800
38,2.899442,1.852180,0.873706,0.691400
39,2.717211,1.622559,0.886520,0.729400
40,2.715941,1.605872,0.884737,0.726400
41,2.782505,1.179395,0.881369,0.749400
42,2.883226,1.050111,0.902499,0.789100
43,2.616591,1.903506,0.883683,0.725200
44,2.818974,1.104324,0.890431,0.752700
45,2.902143,1.580557,0.889426,0.737000
46,2.624555,1.181628,0.892393,0.766800
47,2.821986,1.308531,0.896486,0.762900
48,2.550045,1.377187,0.902457,0.773300
49,2.178765,1.140831,0.905738,0.776900
50,2.475795,1.465220,0.903683,0.767500
51,2.211560,1.549888,0.907719,0.772700
52,2.342433,1.490736,0.900543,0.757400
53,2.486091,1.352040,0.909961,0.785600
54,2.299112,2.037608,0.900092,0.741100
55,2.515311,1.450155,0.904041,0.769600
56,2.371322,1.478188,0.905795,0.769700
57,2.397977,1.514739,0.909888,0.789300
58,2.318989,1.102109,0.907852,0.798800
59,2.625261,1.096293,0.907860,0.796500
60,2.450958,1.124199,0.918844,0.815600
61,2.368464,1.420772,0.913512,0.789700
62,2.188772,1.620680,0.908435,0.775700
63,2.400252,1.089366,0.914191,0.812400
64,2.202420,1.429280,0.914031,0.794700
65,2.420916,1.340681,0.917007,0.806700
66,2.365030,1.626021,0.909791,0.786000
67,2.344404,1.501859,0.915483,0.803200
68,2.424727,1.535874,0.913529,0.794800
69,2.098043,1.158424,0.917437,0.815600
70,2.182893,1.388603,0.916282,0.808300
71,1.984697,1.279904,0.915481,0.812300
72,2.182967,1.091073,0.918337,0.823500
73,2.217478,1.071230,0.919262,0.824200
74,2.109949,1.030044,0.918908,0.819400
75,2.072376,1.596428,0.912629,0.794600
76,2.069115,1.239651,0.918423,0.817900
77,2.151432,1.539098,0.912910,0.795600
78,2.085165,1.336800,0.915120,0.803300
79,1.980888,1.267342,0.916859,0.814000
80,2.082816,1.611503,0.913677,0.793400
81,1.961346,1.054006,0.919460,0.824700
82,1.880447,1.344291,0.916503,0.808600
83,2.179660,1.555543,0.913453,0.795200
84,2.088100,1.150857,0.918516,0.817000
85,2.101954,1.516757,0.911917,0.792800
86,1.851195,1.177129,0.918271,0.816400
87,1.941006,1.562283,0.914691,0.798100
88,2.104979,1.252423,0.917192,0.807400
89,2.163356,1.419831,0.915734,0.799800
90,2.088349,1.274506,0.917700,0.809300
91,2.017666,1.251869,0.917234,0.806700
92,1.713677,1.539630,0.914454,0.795900
93,2.024562,1.253313,0.918006,0.810800
94,2.218781,1.132962,0.918410,0.814500
95,2.131438,1.226141,0.918929,0.811800
