epoch	train_loss	val_loss	auroc	auprc
1	2.2373	1.3551	0.7008	0.4993
2	1.4268	1.8997	0.7257	0.5185
3	1.3291	1.3143	0.7364	0.5433
4	1.0985	1.4771	0.7544	0.5518
5	1.1997	1.5076	0.7524	0.5476
6	1.0865	1.0665	0.7744	0.5879
7	1.1362	0.7507	0.7974	0.6069
8	1.0956	1.1983	0.7735	0.5672
9	0.9570	1.3253	0.7913	0.6129
10	0.9491	1.1752	0.7970	0.6111
11	0.8663	1.2308	0.8125	0.6211
12	0.8945	1.2362	0.8149	0.6243
13	0.7872	1.2561	0.8358	0.6635
14	0.7310	1.0806	0.8336	0.6632
15	0.6989	0.5604	0.8364	0.6854
16	0.7257	1.4037	0.8145	0.6367
17	0.6647	0.9945	0.8206	0.6819
18	0.6228	0.9292	0.8353	0.6917
19	0.5226	0.9795	0.8690	0.7471
20	0.4875	1.0012	0.8731	0.7582
21	0.4332	0.9849	0.8851	0.7902
22	0.4187	0.9971	0.8728	0.7549
23	0.3802	1.0143	0.8767	0.7847
24	0.3934	1.1503	0.8691	0.7610
25	0.3488	1.1835	0.8767	0.7755
26	0.3552	1.1053	0.8656	0.7628
27	0.3268	1.1168	0.8890	0.8059
28	0.3022	1.2668	0.8886	0.8097
29	0.2853	1.1988	0.8932	0.8154
30	0.2839	1.3409	0.8944	0.8215
31	0.2590	1.5206	0.8910	0.8145
32	0.2647	1.5134	0.8879	0.8001
33	0.2523	1.5130	0.8861	0.7963
34	0.2521	1.5565	0.8901	0.8146
35	0.2443	1.6291	0.8905	0.8119
36	0.2254	1.6302	0.8928	0.8127
37	0.2224	1.7523	0.8914	0.8087
38	0.2021	1.7551	0.8909	0.8102
39	0.2112	1.9893	0.8930	0.8070
40	0.2086	1.7163	0.8931	0.8148
41	0.1983	1.8953	0.8955	0.8186
42	0.1902	1.9030	0.8945	0.8233
43	0.1828	1.8368	0.8958	0.8149
44	0.1807	1.8911	0.8882	0.8100
45	0.1786	2.1181	0.8884	0.8054
46	0.1757	1.8932	0.8901	0.8109
47	0.1740	1.9803	0.8911	0.8132
48	0.1795	1.9090	0.8894	0.8133
49	0.1736	2.0827	0.8922	0.8121
50	0.1664	1.9554	0.8913	0.8157
51	0.1604	2.0773	0.8887	0.8135
52	0.1609	1.9477	0.8931	0.8202
53	0.1647	2.0735	0.8944	0.8192
54	0.1555	2.0870	0.8867	0.8085
55	0.1586	2.0850	0.8868	0.8122
56	0.1665	1.8454	0.8912	0.8155
57	0.1575	2.0092	0.8911	0.8169
