epoch	train_loss	val_loss	auroc	auprc
1	0.7478	0.7186	0.8100	0.7093
2	0.6951	0.6905	0.8500	0.7638
3	0.6804	0.6795	0.8459	0.7722
4	0.6744	0.6649	0.8594	0.7942
5	0.6724	0.6630	0.8471	0.7818
6	0.6665	0.6603	0.8258	0.7597
7	0.6656	0.6587	0.8725	0.8038
8	0.6644	0.6576	0.8537	0.7948
9	0.6613	0.6562	0.8300	0.7750
10	0.6618	0.6503	0.8727	0.8154
11	0.6611	0.6499	0.8596	0.7982
12	0.6605	0.6600	0.8372	0.7786
13	0.6558	0.6494	0.8789	0.8122
14	0.6564	0.6492	0.8667	0.8193
15	0.6542	0.6488	0.8527	0.7965
16	0.6532	0.6464	0.8690	0.8317
17	0.6531	0.6457	0.8714	0.8239
18	0.6514	0.6495	0.8525	0.8057
19	0.6505	0.6463	0.8724	0.8275
20	0.6487	0.6467	0.8779	0.8343
21	0.6482	0.6455	0.8849	0.8402
22	0.6485	0.6455	0.8951	0.8353
23	0.6458	0.6460	0.8809	0.8301
24	0.6458	0.6488	0.8790	0.8186
25	0.6462	0.6470	0.8907	0.8353
26	0.6457	0.6449	0.8945	0.8400
27	0.6456	0.6448	0.8695	0.8310
28	0.6443	0.6443	0.8922	0.8442
29	0.6447	0.6428	0.8799	0.8384
30	0.6430	0.6426	0.8895	0.8450
31	0.6436	0.6436	0.8870	0.8453
32	0.6423	0.6437	0.8961	0.8470
33	0.6421	0.6428	0.8929	0.8406
34	0.6422	0.6430	0.8971	0.8492
35	0.6415	0.6426	0.8969	0.8497
36	0.6412	0.6415	0.8951	0.8521
37	0.6411	0.6428	0.8987	0.8503
38	0.6406	0.6429	0.8961	0.8461
39	0.6405	0.6413	0.8994	0.8523
40	0.6401	0.6409	0.9018	0.8513
41	0.6407	0.6428	0.9014	0.8415
42	0.6402	0.6411	0.8980	0.8360
43	0.6404	0.6440	0.8882	0.8358
44	0.6388	0.6434	0.8945	0.8438
45	0.6389	0.6418	0.9012	0.8499
46	0.6374	0.6408	0.8983	0.8441
47	0.6371	0.6415	0.8975	0.8393
48	0.6374	0.6417	0.8887	0.8422
49	0.6374	0.6413	0.8955	0.8476
50	0.6374	0.6407	0.8985	0.8473
51	0.6367	0.6413	0.8965	0.8458
52	0.6359	0.6403	0.8980	0.8482
53	0.6362	0.6405	0.8990	0.8507
54	0.6370	0.6394	0.8978	0.8522
