epoch	train_loss	val_loss	auroc	auprc
1	0.7264	0.7041	0.8254	0.7331
2	0.6773	0.6810	0.8387	0.7564
3	0.6642	0.6627	0.8417	0.7746
4	0.6586	0.6636	0.8499	0.7813
5	0.6538	0.6563	0.8559	0.7940
6	0.6500	0.6539	0.8796	0.8203
7	0.6468	0.6515	0.8740	0.8030
8	0.6463	0.6494	0.8809	0.8192
9	0.6461	0.6479	0.8798	0.8220
10	0.6438	0.6530	0.8769	0.8114
11	0.6441	0.6507	0.8846	0.8344
12	0.6417	0.6483	0.8864	0.8319
13	0.6416	0.6473	0.8917	0.8287
14	0.6396	0.6468	0.8660	0.8199
15	0.6414	0.6492	0.8752	0.8146
16	0.6391	0.6477	0.8577	0.7946
17	0.6386	0.6455	0.8789	0.8111
18	0.6394	0.6486	0.8742	0.8107
19	0.6343	0.6448	0.8937	0.8307
20	0.6321	0.6413	0.8865	0.8283
21	0.6304	0.6428	0.8854	0.8339
22	0.6308	0.6415	0.8832	0.8267
23	0.6297	0.6407	0.8780	0.8202
24	0.6299	0.6395	0.8927	0.8420
25	0.6267	0.6375	0.8912	0.8430
26	0.6260	0.6399	0.8873	0.8299
27	0.6263	0.6394	0.8848	0.8239
28	0.6260	0.6383	0.8820	0.8375
29	0.6251	0.6381	0.8840	0.8241
30	0.6242	0.6375	0.8901	0.8360
31	0.6229	0.6365	0.8956	0.8382
32	0.6226	0.6358	0.8962	0.8487
33	0.6221	0.6361	0.8955	0.8479
34	0.6215	0.6364	0.8967	0.8496
35	0.6218	0.6361	0.8951	0.8479
36	0.6223	0.6361	0.8943	0.8488
37	0.6212	0.6340	0.9008	0.8569
38	0.6215	0.6354	0.9020	0.8487
39	0.6207	0.6347	0.8999	0.8602
40	0.6209	0.6371	0.8959	0.8358
41	0.6208	0.6354	0.9067	0.8550
42	0.6200	0.6356	0.9026	0.8545
43	0.6193	0.6359	0.9057	0.8596
44	0.6194	0.6353	0.8992	0.8601
45	0.6194	0.6363	0.9026	0.8573
46	0.6193	0.6354	0.9072	0.8635
47	0.6182	0.6348	0.8980	0.8569
48	0.6178	0.6336	0.9074	0.8635
49	0.6185	0.6338	0.9010	0.8610
50	0.6167	0.6335	0.9001	0.8632
51	0.6171	0.6332	0.9104	0.8666
52	0.6168	0.6339	0.9140	0.8735
53	0.6175	0.6345	0.9062	0.8598
54	0.6176	0.6328	0.9091	0.8684
55	0.6168	0.6348	0.9107	0.8693
56	0.6164	0.6333	0.9102	0.8690
57	0.6161	0.6334	0.9088	0.8656
58	0.6164	0.6325	0.9086	0.8703
59	0.6148	0.6329	0.9079	0.8721
60	0.6153	0.6328	0.9087	0.8714
61	0.6157	0.6326	0.9088	0.8721
62	0.6146	0.6326	0.9108	0.8675
63	0.6152	0.6323	0.9087	0.8675
64	0.6143	0.6321	0.9109	0.8725
65	0.6145	0.6313	0.9130	0.8753
66	0.6138	0.6319	0.9126	0.8699
67	0.6143	0.6321	0.9113	0.8683
68	0.6144	0.6323	0.9104	0.8701
69	0.6136	0.6324	0.9130	0.8689
70	0.6145	0.6328	0.9098	0.8689
71	0.6139	0.6320	0.9085	0.8678
