epoch	train_loss	val_loss	auroc	auprc
1	0.8073	0.7908	0.7353	0.5905
2	0.7959	0.7778	0.8184	0.7363
3	0.7929	0.7808	0.7952	0.6951
4	0.7920	0.7767	0.8452	0.7698
5	0.7905	0.7763	0.8278	0.7454
6	0.7904	0.7760	0.8347	0.7346
7	0.7899	0.7755	0.8465	0.7693
8	0.7896	0.7744	0.8477	0.7573
9	0.7894	0.7742	0.8514	0.7557
10	0.7892	0.7790	0.8631	0.7783
11	0.7889	0.7736	0.8600	0.7752
12	0.7887	0.7845	0.8168	0.7223
13	0.7885	0.7736	0.8479	0.7508
14	0.7883	0.7732	0.8513	0.7797
15	0.7878	0.7764	0.8645	0.7823
16	0.7881	0.7730	0.8490	0.7223
17	0.7878	0.7734	0.8604	0.7777
18	0.7875	0.7721	0.8665	0.7798
19	0.7874	0.7718	0.8752	0.8002
20	0.7873	0.7715	0.8688	0.7952
21	0.7866	0.7721	0.8595	0.7501
22	0.7873	0.7711	0.8685	0.7921
23	0.7868	0.7716	0.8590	0.7610
24	0.7866	0.7704	0.8612	0.7907
25	0.7862	0.7708	0.8768	0.7907
26	0.7865	0.7708	0.8490	0.7911
27	0.7861	0.7704	0.8736	0.8078
28	0.7863	0.7709	0.8603	0.7977
29	0.7862	0.7702	0.8509	0.7913
30	0.7861	0.7701	0.8506	0.8034
31	0.7858	0.7700	0.8734	0.8199
32	0.7858	0.7698	0.8734	0.8163
33	0.7858	0.7700	0.8645	0.8143
34	0.7854	0.7699	0.8584	0.8066
35	0.7855	0.7704	0.8526	0.8073
36	0.7853	0.7702	0.8613	0.8147
37	0.7854	0.7700	0.8526	0.8089
38	0.7852	0.7700	0.8605	0.8049
39	0.7852	0.7699	0.8603	0.8164
40	0.7858	0.7701	0.8601	0.8130
41	0.7856	0.7704	0.8576	0.8128
42	0.7853	0.7703	0.8552	0.8115
43	0.7852	0.7706	0.8565	0.8084
44	0.7855	0.7703	0.8558	0.8120
